# scan: threads=80 N=[25787,32000] trials/N=150 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=25801  mean=0.1467 max=22 fail=0
WEAK N=25799  mean=0.5600 max=75 fail=0
WEAK N=25900  mean=3.6933 max=553 fail=0
WEAK N=25920  mean=106.5600 max=10400 fail=0
WEAK N=25950  mean=0.1600 max=14 fail=0
WEAK N=25936  mean=0.1800 max=24 fail=0
WEAK N=25965  mean=0.9333 max=138 fail=0
WEAK N=26043  mean=0.8267 max=53 fail=0
WEAK N=26137  mean=15.9267 max=2386 fail=0
WEAK N=26154  mean=2.6733 max=126 fail=2
WEAK N=26194  mean=0.1800 max=25 fail=0
WEAK N=26195  mean=73.4600 max=5518 fail=0
WEAK N=26231  mean=0.1800 max=24 fail=0
WEAK N=26287  mean=0.1533 max=20 fail=0
WEAK N=26368  mean=0.1667 max=24 fail=0
WEAK N=26367  mean=0.0067 max=1 fail=1
WEAK N=26383  mean=19.3067 max=2892 fail=0
WEAK N=26373  mean=0.5200 max=72 fail=0
WEAK N=26496  mean=0.1800 max=14 fail=0
WEAK N=26570  mean=0.8467 max=111 fail=0
WEAK N=26614  mean=5.6267 max=841 fail=0
WEAK N=26601  mean=2.7933 max=415 fail=0
WEAK N=26637  mean=0.5200 max=75 fail=0
WEAK N=26650  mean=1.3333 max=76 fail=0
WEAK N=26662  mean=5.0600 max=445 fail=0
WEAK N=26704  mean=0.1133 max=14 fail=0
WEAK N=26833  mean=0.3933 max=51 fail=0
WEAK N=26883  mean=1.3333 max=126 fail=0
WEAK N=26995  mean=788.9733 max=11352 fail=0
WEAK N=27070  mean=0.2000 max=21 fail=0
WEAK N=27067  mean=0.1667 max=19 fail=0
WEAK N=27106  mean=0.4933 max=20 fail=0
WEAK N=27171  mean=7.9000 max=1185 fail=0
WEAK N=27229  mean=0.1467 max=16 fail=0
WEAK N=27228  mean=1.3733 max=37 fail=1
WEAK N=27240  mean=0.2600 max=35 fail=0
WEAK N=27275  mean=1.4000 max=92 fail=0
WEAK N=27306  mean=0.4133 max=60 fail=0
WEAK N=27348  mean=0.3600 max=28 fail=0
WEAK N=27380  mean=0.2467 max=23 fail=0
WEAK N=27428  mean=0.8867 max=82 fail=1
WEAK N=27466  mean=9.2067 max=758 fail=0
WEAK N=27494  mean=13.7600 max=2061 fail=0
WEAK N=27486  mean=23.6133 max=3537 fail=0
WEAK N=27545  mean=6.3933 max=954 fail=0
WEAK N=27550  mean=1.5733 max=159 fail=0
WEAK N=27532  mean=1.6533 max=72 fail=0
WEAK N=27583  mean=1.0067 max=85 fail=0
WEAK N=27609  mean=18.3200 max=2742 fail=0
WEAK N=27620  mean=2.4533 max=159 fail=0
WEAK N=27623  mean=3.8133 max=58 fail=0
WEAK N=27604  mean=1.9400 max=170 fail=0
WEAK N=27610  mean=0.5267 max=39 fail=0
WEAK N=27618  mean=0.1400 max=16 fail=0
WEAK N=27644  mean=22.9467 max=3439 fail=0
WEAK N=27660  mean=0.3333 max=36 fail=0
WEAK N=27704  mean=0.4467 max=64 fail=0
WEAK N=27743  mean=0.3267 max=27 fail=0
WEAK N=27731  mean=0.1667 max=20 fail=0
WEAK N=27794  mean=2.2733 max=340 fail=0
WEAK N=27894  mean=0.5400 max=76 fail=0
WEAK N=27895  mean=0.2933 max=40 fail=0
WEAK N=27900  mean=0.5933 max=84 fail=0
WEAK N=27934  mean=0.9333 max=97 fail=0
WEAK N=27963  mean=7.2000 max=1078 fail=0
WEAK N=27982  mean=0.1200 max=14 fail=0
WEAK N=27984  mean=0.7933 max=46 fail=0
WEAK N=28031  mean=0.8467 max=34 fail=0
WEAK N=28033  mean=1.5867 max=81 fail=0
WEAK N=28099  mean=0.9600 max=136 fail=0
WEAK N=28110  mean=0.8800 max=64 fail=0
WEAK N=28123  mean=2.5467 max=167 fail=0
WEAK N=28239  mean=0.1067 max=14 fail=0
WEAK N=28249  mean=6.0533 max=904 fail=0
WEAK N=28293  mean=2.3133 max=234 fail=0
WEAK N=28325  mean=0.9267 max=69 fail=0
WEAK N=28339  mean=42.4533 max=6364 fail=0
WEAK N=28374  mean=1.8600 max=275 fail=0
WEAK N=28382  mean=0.8867 max=129 fail=0
WEAK N=28381  mean=0.1133 max=10 fail=0
WEAK N=28421  mean=0.6467 max=92 fail=0
WEAK N=28408  mean=0.1933 max=26 fail=0
WEAK N=28438  mean=2.7933 max=218 fail=0
WEAK N=28550  mean=49.6267 max=7441 fail=0
WEAK N=28556  mean=1.8400 max=221 fail=0
WEAK N=28572  mean=0.2333 max=32 fail=0
WEAK N=28695  mean=1.9267 max=287 fail=0
