# scan: threads=96 N=[2048,24000] trials/N=200 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=2373   mean=0.8550 max=169 fail=0
WEAK N=2547   mean=0.2050 max=37 fail=0
WEAK N=2632   mean=1.1500 max=227 fail=0
WEAK N=2676   mean=0.1800 max=15 fail=0
WEAK N=2962   mean=1.0850 max=118 fail=0
WEAK N=3061   mean=1.0200 max=202 fail=0
WEAK N=3217   mean=0.3100 max=32 fail=0
WEAK N=3233   mean=0.1500 max=20 fail=0
WEAK N=3430   mean=3.7400 max=744 fail=0
WEAK N=3495   mean=1.5650 max=308 fail=0
WEAK N=3559   mean=0.3300 max=66 fail=0
WEAK N=3720   mean=0.1250 max=24 fail=0
WEAK N=3724   mean=0.4900 max=92 fail=0
WEAK N=3725   mean=0.1050 max=11 fail=0
WEAK N=3758   mean=0.2700 max=11 fail=0
WEAK N=3940   mean=0.7300 max=142 fail=0
WEAK N=4266   mean=8.5600 max=1707 fail=0
WEAK N=4276   mean=1.3650 max=269 fail=0
WEAK N=4326   mean=3.3950 max=675 fail=0
WEAK N=4461   mean=3.6250 max=365 fail=0
WEAK N=4476   mean=1.0800 max=211 fail=0
WEAK N=4595   mean=6.5350 max=348 fail=0
WEAK N=4593   mean=2.4700 max=483 fail=0
WEAK N=4639   mean=1.4550 max=147 fail=0
WEAK N=4654   mean=1.5600 max=307 fail=0
WEAK N=4651   mean=0.1800 max=19 fail=0
WEAK N=4771   mean=0.2650 max=17 fail=0
WEAK N=4845   mean=0.9050 max=177 fail=0
WEAK N=4878   mean=4.9550 max=499 fail=0
WEAK N=4891   mean=0.2700 max=21 fail=0
WEAK N=4935   mean=0.4250 max=18 fail=0
WEAK N=4983   mean=0.1350 max=18 fail=0
WEAK N=5012   mean=1.4500 max=115 fail=0
WEAK N=5043   mean=3.3400 max=663 fail=0
WEAK N=5100   mean=0.1150 max=14 fail=0
WEAK N=5125   mean=0.1600 max=29 fail=0
WEAK N=5207   mean=0.1200 max=16 fail=0
WEAK N=5206   mean=1.3200 max=263 fail=0
WEAK N=5226   mean=3.7100 max=737 fail=0
WEAK N=5550   mean=0.2400 max=16 fail=0
WEAK N=5579   mean=2.6250 max=517 fail=0
WEAK N=5585   mean=3.5300 max=701 fail=0
WEAK N=5628   mean=0.1300 max=8 fail=0
WEAK N=5735   mean=2.6700 max=265 fail=0
WEAK N=5756   mean=2.4400 max=483 fail=0
WEAK N=5778   mean=4.7400 max=943 fail=0
WEAK N=5915   mean=2.6400 max=524 fail=0
WEAK N=5939   mean=0.8950 max=174 fail=0
WEAK N=5933   mean=0.1050 max=11 fail=0
WEAK N=5988   mean=0.3150 max=17 fail=0
WEAK N=6013   mean=8.5350 max=1169 fail=0
WEAK N=6025   mean=0.6750 max=132 fail=0
WEAK N=6107   mean=0.1250 max=13 fail=0
WEAK N=6160   mean=5.2100 max=1038 fail=0
WEAK N=6238   mean=14.4200 max=1166 fail=0
WEAK N=6279   mean=10.3200 max=1094 fail=0
WEAK N=6356   mean=2.4000 max=477 fail=0
WEAK N=6373   mean=0.6500 max=128 fail=0
WEAK N=6423   mean=0.2950 max=20 fail=0
WEAK N=6472   mean=0.1250 max=22 fail=0
WEAK N=6532   mean=1.8600 max=64 fail=0
WEAK N=6565   mean=0.1050 max=10 fail=0
WEAK N=6588   mean=0.1450 max=11 fail=0
WEAK N=6604   mean=0.2450 max=26 fail=0
WEAK N=6710   mean=0.2250 max=37 fail=0
WEAK N=6740   mean=0.3200 max=44 fail=0
WEAK N=6761   mean=0.4050 max=21 fail=0
WEAK N=6777   mean=9.7300 max=978 fail=0
WEAK N=6766   mean=0.5150 max=59 fail=0
WEAK N=6794   mean=0.1100 max=20 fail=0
WEAK N=6804   mean=0.2800 max=22 fail=0
WEAK N=6850   mean=3.5900 max=712 fail=0
WEAK N=6894   mean=0.1350 max=14 fail=0
WEAK N=6938   mean=1.1050 max=217 fail=0
WEAK N=6985   mean=3.7850 max=752 fail=0
WEAK N=7002   mean=0.1150 max=22 fail=0
WEAK N=7091   mean=0.4200 max=23 fail=0
WEAK N=7142   mean=4.3800 max=184 fail=0
WEAK N=7175   mean=0.1150 max=7 fail=0
WEAK N=7216   mean=0.1900 max=15 fail=0
WEAK N=7231   mean=187.7050 max=5926 fail=0
WEAK N=7245   mean=3.4400 max=249 fail=0
WEAK N=7344   mean=0.1900 max=24 fail=0
WEAK N=7398   mean=2.7900 max=554 fail=0
WEAK N=7420   mean=9.2000 max=1834 fail=0
WEAK N=7435   mean=2.6650 max=532 fail=0
WEAK N=7439   mean=3.0300 max=601 fail=0
WEAK N=7489   mean=5.5050 max=1098 fail=0
WEAK N=7533   mean=10.4600 max=2081 fail=0
WEAK N=7527   mean=9.2700 max=1848 fail=0
WEAK N=7564   mean=2.5300 max=502 fail=0
WEAK N=7733   mean=0.8600 max=166 fail=0
WEAK N=7761   mean=7.8800 max=1573 fail=0
WEAK N=7778   mean=1.4150 max=279 fail=0
WEAK N=7936   mean=1.6050 max=114 fail=0
WEAK N=7954   mean=0.5250 max=34 fail=0
WEAK N=7964   mean=1.7800 max=351 fail=0
WEAK N=8040   mean=9.3000 max=948 fail=0
WEAK N=8125   mean=0.5650 max=109 fail=0
WEAK N=8152   mean=2.8850 max=572 fail=0
WEAK N=8200   mean=2.2750 max=447 fail=0
WEAK N=8202   mean=0.1100 max=8 fail=0
WEAK N=8214   mean=6.7600 max=1320 fail=0
WEAK N=8324   mean=1.6800 max=332 fail=0
WEAK N=8458   mean=0.1400 max=24 fail=0
WEAK N=8503   mean=0.1550 max=20 fail=0
WEAK N=8523   mean=1.4300 max=276 fail=0
WEAK N=8615   mean=27.4750 max=1869 fail=0
WEAK N=8658   mean=1.0450 max=207 fail=0
WEAK N=8724   mean=2.3400 max=277 fail=0
WEAK N=8820   mean=4.5900 max=912 fail=0
WEAK N=8845   mean=0.4600 max=25 fail=0
WEAK N=8855   mean=0.1850 max=35 fail=0
WEAK N=8897   mean=0.2950 max=19 fail=0
WEAK N=8902   mean=0.6750 max=82 fail=0
WEAK N=8921   mean=2.6200 max=520 fail=0
WEAK N=8965   mean=0.2350 max=23 fail=0
WEAK N=8985   mean=0.1400 max=9 fail=0
WEAK N=9010   mean=0.6350 max=23 fail=0
WEAK N=9042   mean=4.9450 max=987 fail=0
WEAK N=9202   mean=0.3650 max=39 fail=0
WEAK N=9217   mean=1.9100 max=376 fail=0
WEAK N=9308   mean=0.8400 max=162 fail=0
WEAK N=9304   mean=6.3600 max=642 fail=0
WEAK N=9319   mean=0.1450 max=21 fail=0
WEAK N=9430   mean=0.2250 max=16 fail=0
WEAK N=9557   mean=11.7350 max=2340 fail=0
WEAK N=9619   mean=1.9150 max=381 fail=0
WEAK N=9620   mean=0.6950 max=98 fail=0
WEAK N=9659   mean=3.3650 max=668 fail=0
WEAK N=9677   mean=0.2600 max=48 fail=0
WEAK N=9684   mean=0.2400 max=44 fail=0
WEAK N=9692   mean=0.4450 max=32 fail=0
WEAK N=9752   mean=5.2650 max=1049 fail=0
WEAK N=9738   mean=0.1450 max=13 fail=0
WEAK N=9869   mean=0.7350 max=45 fail=0
WEAK N=9889   mean=0.3050 max=19 fail=0
WEAK N=9938   mean=0.2000 max=15 fail=0
WEAK N=9955   mean=0.7650 max=151 fail=0
WEAK N=9971   mean=12.0100 max=2394 fail=0
WEAK N=9988   mean=0.6950 max=39 fail=0
WEAK N=10004  mean=0.1650 max=17 fail=0
WEAK N=10038  mean=0.1100 max=9 fail=0
WEAK N=10048  mean=0.1100 max=8 fail=0
WEAK N=10065  mean=0.4350 max=39 fail=0
WEAK N=10169  mean=19.7000 max=3283 fail=0
WEAK N=10263  mean=0.3000 max=28 fail=0
WEAK N=10258  mean=0.2100 max=23 fail=0
WEAK N=10399  mean=0.1650 max=26 fail=0
WEAK N=10520  mean=0.1150 max=20 fail=0
WEAK N=10576  mean=4.6150 max=920 fail=0
WEAK N=10620  mean=0.2350 max=17 fail=0
WEAK N=10732  mean=0.1950 max=15 fail=0
WEAK N=10738  mean=0.2200 max=20 fail=0
WEAK N=10759  mean=0.2700 max=41 fail=0
WEAK N=10819  mean=0.8650 max=168 fail=0
WEAK N=10922  mean=0.1450 max=26 fail=0
WEAK N=10990  mean=4.4200 max=881 fail=0
WEAK N=11012  mean=13.1900 max=2636 fail=0
WEAK N=11026  mean=9.1500 max=1826 fail=0
WEAK N=11168  mean=25.6800 max=2587 fail=0
WEAK N=11170  mean=4.2300 max=846 fail=0
WEAK N=11153  mean=3.1950 max=630 fail=0
WEAK N=11197  mean=0.2950 max=56 fail=0
WEAK N=11169  mean=7.8500 max=573 fail=0
WEAK N=11289  mean=0.1150 max=19 fail=0
WEAK N=11288  mean=8.6100 max=1714 fail=0
WEAK N=11330  mean=0.1800 max=23 fail=0
WEAK N=11446  mean=22.9000 max=1550 fail=0
WEAK N=11554  mean=5.8500 max=1167 fail=0
WEAK N=11758  mean=17.8900 max=938 fail=0
WEAK N=11751  mean=0.2050 max=24 fail=0
WEAK N=11825  mean=6.8200 max=1363 fail=0
WEAK N=12049  mean=3.6150 max=717 fail=0
WEAK N=12056  mean=2.4550 max=488 fail=0
WEAK N=12094  mean=5.4700 max=553 fail=0
WEAK N=12110  mean=21.3650 max=4269 fail=0
WEAK N=12183  mean=0.1150 max=13 fail=0
WEAK N=12194  mean=0.4500 max=42 fail=0
WEAK N=12177  mean=0.8550 max=167 fail=0
WEAK N=12202  mean=6.3600 max=1268 fail=0
WEAK N=12265  mean=3.6500 max=724 fail=0
WEAK N=12339  mean=5.6100 max=1120 fail=0
WEAK N=12331  mean=0.1200 max=17 fail=0
WEAK N=12396  mean=1.3050 max=256 fail=0
WEAK N=12397  mean=1.1600 max=225 fail=0
WEAK N=12429  mean=14.2250 max=2842 fail=0
WEAK N=12455  mean=0.1700 max=28 fail=0
WEAK N=12475  mean=7.4950 max=1495 fail=0
