# scan: threads=96 N=[2048,17500] trials/N=200 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=4593   mean=2.4700 max=483 fail=0
WEAK N=4935   mean=0.4250 max=18 fail=0
WEAK N=5043   mean=3.3400 max=663 fail=0
WEAK N=5100   mean=0.1150 max=14 fail=0
WEAK N=5125   mean=0.1600 max=29 fail=0
WEAK N=5206   mean=1.3200 max=263 fail=0
WEAK N=5550   mean=0.2400 max=16 fail=0
WEAK N=5778   mean=4.7400 max=943 fail=0
WEAK N=5915   mean=2.6400 max=524 fail=0
WEAK N=6107   mean=0.1250 max=13 fail=0
WEAK N=6279   mean=10.3200 max=1094 fail=0
WEAK N=6356   mean=2.4000 max=477 fail=0
WEAK N=6373   mean=0.6500 max=128 fail=0
WEAK N=6423   mean=0.2950 max=20 fail=0
WEAK N=6532   mean=1.8600 max=64 fail=0
WEAK N=6565   mean=0.1050 max=10 fail=0
WEAK N=6761   mean=0.4050 max=21 fail=0
WEAK N=6777   mean=9.7300 max=978 fail=0
WEAK N=6985   mean=3.7850 max=752 fail=0
WEAK N=7002   mean=0.1150 max=22 fail=0
WEAK N=7091   mean=0.4200 max=23 fail=0
WEAK N=7216   mean=0.1900 max=15 fail=0
WEAK N=7435   mean=2.6650 max=532 fail=0
WEAK N=7489   mean=5.5050 max=1098 fail=0
WEAK N=7533   mean=10.4600 max=2081 fail=0
WEAK N=7564   mean=2.5300 max=502 fail=0
WEAK N=7778   mean=1.4150 max=279 fail=0
WEAK N=7964   mean=1.7800 max=351 fail=0
WEAK N=8040   mean=9.3000 max=948 fail=0
WEAK N=8200   mean=2.2750 max=447 fail=0
WEAK N=8324   mean=1.6800 max=332 fail=0
WEAK N=8615   mean=27.4750 max=1869 fail=0
WEAK N=8658   mean=1.0450 max=207 fail=0
WEAK N=8845   mean=0.4600 max=25 fail=0
WEAK N=8965   mean=0.2350 max=23 fail=0
WEAK N=8985   mean=0.1400 max=9 fail=0
WEAK N=9202   mean=0.3650 max=39 fail=0
WEAK N=9217   mean=1.9100 max=376 fail=0
WEAK N=9319   mean=0.1450 max=21 fail=0
WEAK N=9308   mean=0.8400 max=162 fail=0
WEAK N=9557   mean=11.7350 max=2340 fail=0
WEAK N=9677   mean=0.2600 max=48 fail=0
WEAK N=10038  mean=0.1100 max=9 fail=0
WEAK N=10258  mean=0.2100 max=23 fail=0
WEAK N=10520  mean=0.1150 max=20 fail=0
WEAK N=10759  mean=0.2700 max=41 fail=0
WEAK N=11012  mean=13.1900 max=2636 fail=0
WEAK N=11026  mean=9.1500 max=1826 fail=0
WEAK N=11168  mean=25.6800 max=2587 fail=0
WEAK N=11446  mean=22.9000 max=1550 fail=0
WEAK N=11554  mean=5.8500 max=1167 fail=0
WEAK N=11758  mean=17.8900 max=938 fail=0
WEAK N=12049  mean=3.6150 max=717 fail=0
WEAK N=12110  mean=21.3650 max=4269 fail=0
WEAK N=12396  mean=1.3050 max=256 fail=0
WEAK N=12507  mean=3.3700 max=184 fail=0
WEAK N=12735  mean=31.2350 max=340 fail=0
WEAK N=13295  mean=12.7850 max=2551 fail=0
WEAK N=13425  mean=11.0500 max=2208 fail=0
WEAK N=13502  mean=20.6950 max=4138 fail=0
WEAK N=13516  mean=7.9500 max=1565 fail=0
WEAK N=13567  mean=7.4100 max=1481 fail=0
WEAK N=13631  mean=2.4250 max=483 fail=0
WEAK N=13750  mean=0.2800 max=21 fail=0
WEAK N=13820  mean=13.8150 max=2760 fail=0
WEAK N=13859  mean=0.2800 max=23 fail=0
WEAK N=13893  mean=41.9950 max=2811 fail=0
WEAK N=14041  mean=2.0200 max=400 fail=0
WEAK N=14551  mean=5.8600 max=1167 fail=0
WEAK N=14721  mean=15.2750 max=1031 fail=0
WEAK N=14821  mean=6.5750 max=1309 fail=0
WEAK N=14985  mean=14.5250 max=1170 fail=0
WEAK N=14964  mean=1.0450 max=206 fail=0
WEAK N=15019  mean=0.1050 max=7 fail=0
WEAK N=15210  mean=0.2000 max=36 fail=0
WEAK N=15371  mean=44.0100 max=8754 fail=0
WEAK N=15597  mean=12.5150 max=2496 fail=0
WEAK N=15621  mean=124.6250 max=8053 fail=0
WEAK N=15620  mean=0.7450 max=145 fail=0
WEAK N=15661  mean=57.1100 max=2897 fail=0
WEAK N=15711  mean=0.5650 max=111 fail=0
WEAK N=15743  mean=0.1400 max=20 fail=0
WEAK N=15727  mean=3.4000 max=677 fail=0
WEAK N=15722  mean=1.0150 max=36 fail=0
WEAK N=15964  mean=8.7250 max=1740 fail=0
WEAK N=15943  mean=1.4300 max=285 fail=0
WEAK N=16025  mean=0.2600 max=23 fail=0
WEAK N=16049  mean=6.9300 max=1383 fail=0
WEAK N=16101  mean=24.3350 max=4861 fail=0
WEAK N=16151  mean=0.5100 max=97 fail=0
WEAK N=16168  mean=0.1150 max=16 fail=0
WEAK N=16290  mean=3.4350 max=680 fail=0
WEAK N=16484  mean=2.8850 max=202 fail=0
WEAK N=16561  mean=16.0750 max=3212 fail=0
WEAK N=16719  mean=13.6950 max=2262 fail=0
WEAK N=16770  mean=20.2100 max=2048 fail=0
WEAK N=16868  mean=11.1000 max=2215 fail=0
WEAK N=16843  mean=12.7300 max=2545 fail=0
WEAK N=16904  mean=1.0900 max=213 fail=0
WEAK N=16877  mean=3.7250 max=739 fail=0
WEAK N=16905  mean=5.0400 max=1003 fail=0
WEAK N=16999  mean=0.1850 max=32 fail=0
WEAK N=16990  mean=2.2550 max=448 fail=0
WEAK N=17036  mean=0.5600 max=31 fail=0
WEAK N=17033  mean=0.3800 max=25 fail=0
WEAK N=17007  mean=0.1850 max=14 fail=1
WEAK N=17079  mean=0.2700 max=17 fail=0
WEAK N=17127  mean=1.9300 max=49 fail=0
WEAK N=17160  mean=1.9400 max=327 fail=0
WEAK N=17252  mean=1.7450 max=211 fail=0
WEAK N=17349  mean=0.1550 max=28 fail=0
WEAK N=17463  mean=10.4900 max=2096 fail=0
WEAK N=17499  mean=6.3100 max=1257 fail=0
# scan done: 15453 N scanned
