# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing,N=513,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=156435,seconds_per_k_symbols=0.000156435,symbols_per_sec=3279317.29,median_init_ns=156415,median_symbols_ns=30,sink=0
# encode_timing_phases,N=513,heavy_family=periodic,mix_count=3,median_sysbuild_ns=11457,median_runtime_ns=41,median_solve_build_ns=13069,median_solve_peel_ns=46700,median_solve_project_ns=20861,median_solve_residual_ns=51607,median_solve_backsub_ns=9955
513,2,periodic,3,0,1,1,0,0,0.00000000,62.000,62,12.000,12,12.000,12,0,0.119,0.017,0.034,0.015,0.044,0.009,0,9178.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=514,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=131808,seconds_per_k_symbols=0.000131808,symbols_per_sec=3899611.56,median_init_ns=131788,median_symbols_ns=20,sink=0
# encode_timing_phases,N=514,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10736,median_runtime_ns=40,median_solve_build_ns=11777,median_solve_peel_ns=35564,median_solve_project_ns=19289,median_solve_residual_ns=44677,median_solve_backsub_ns=9294
514,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.342,0.019,0.091,0.051,0.161,0.020,0,9380.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=515,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=134172,seconds_per_k_symbols=0.000134172,symbols_per_sec=3838356.74,median_init_ns=134152,median_symbols_ns=30,sink=0
# encode_timing_phases,N=515,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10596,median_runtime_ns=40,median_solve_build_ns=11988,median_solve_peel_ns=40440,median_solve_project_ns=19670,median_solve_residual_ns=40982,median_solve_backsub_ns=9924
515,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.383,0.032,0.131,0.060,0.136,0.023,0,9852.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=516,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=125869,seconds_per_k_symbols=0.000125869,symbols_per_sec=4099500.27,median_init_ns=125849,median_symbols_ns=20,sink=0
