# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols*rowrefs) exact degree-2
#    2 lookahead        O(cols*rowrefs) degree-2 partner potential
#    3 weighted         O(cols*rowrefs) weighted exact/look/fill
#    4 min_fill         O(cols*rowrefs) Markowitz-style fill
#    5 min_fillsq       O(cols*rowrefs) quadratic fill
#    6 dup_partner      O(cols*rowrefs) repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols*rowrefs) exact degree-2 per fill
#   13 min_maxrow       O(cols*rowrefs) minimize worst touched row
#   14 d3_support       O(cols*rowrefs) degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
#   21 top32_lookfill   O(cols + 32*rowrefs) top-K/default pool + look/fill score
#   22 top64_lookfill   O(cols + 64*rowrefs) top-K/default pool + look/fill score
#   23 top8_ratio       O(cols + 8*rowrefs) top-K/default pool + d2/fill ratio
#   24 top16_ratio      O(cols + 16*rowrefs) top-K/default pool + d2/fill ratio
#   25 top32_ratio      O(cols + 32*rowrefs) top-K/default pool + d2/fill ratio
#   26 top16_dup        O(cols + 16*rowrefs) top-K/default pool + duplicate partners
#   27 top16_d3         O(cols + 16*rowrefs) top-K/default pool + degree-3 support
#   28 top16_livemin    O(cols + 16*rowrefs) top-K/default pool + low live refs
#   29 top16_lowref     O(cols) top-K/default pool + low reference count
#   30 top16_livemax    O(cols + 16*rowrefs) top-K/default pool + high live refs
#   31 top32_minfill    O(cols + 32*rowrefs) top-K/default pool + min-fill
#   32 top32_maxrow     O(cols + 32*rowrefs) top-K/default pool + min max-row
#   33 d2pool_default   O(rows*degree + candidates) all degree-2 endpoints + default score
#   34 d2pool_lowref    O(rows*degree + candidates) all degree-2 endpoints + low refs
#   35 d2pool_lookfill  O(rows*degree + candidates*rowrefs) all degree-2 endpoints + look/fill
#   36 d2pool_dup       O(rows*degree + candidates*rowrefs) all degree-2 endpoints + duplicate partners
#   37 d2pool_ratio     O(rows*degree + candidates*rowrefs) all degree-2 endpoints + d2/fill ratio
#   38 d2pool_minfill   O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min-fill
#   39 d2pool_maxrow    O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min max-row
#   40 rqcc_lowref      O(rows*degree + cols) largest degree-2 component + low refs
#   41 rqcc_lookfill    O(rows*degree + cols + cc*rowrefs) largest degree-2 component + look/fill
#   42 rqcc_dup         O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners
#   43 rqcc_ratio       O(rows*degree + cols + cc*rowrefs) largest degree-2 component + d2/fill ratio
#   44 rqcc_minfill     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min-fill
#   45 rqcc_livemin     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + low live refs
#   46 rqcc_maxrow      O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min max-row
#   47 minrow_default   O(rows*degree + row_degree) first minimum row + default score
#   48 minrow_lowref    O(rows*degree + row_degree) first minimum row + low refs
#   49 minrow_minfill   O(rows*degree + row_degree*rowrefs) first minimum row + min-fill
#   50 minrow_lookfill  O(rows*degree + row_degree*rowrefs) first minimum row + look/fill
#   51 minrow_ratio     O(rows*degree + row_degree*rowrefs) first minimum row + d2/fill ratio
#   52 allmin_default   O(rows*degree + candidates) all minimum rows + default score
#   53 allmin_lowref    O(rows*degree + candidates) all minimum rows + low refs
#   54 allmin_minfill   O(rows*degree + candidates*rowrefs) all minimum rows + min-fill
#   55 allmin_lookfill  O(rows*degree + candidates*rowrefs) all minimum rows + look/fill
#   56 allmin_ratio     O(rows*degree + candidates*rowrefs) all minimum rows + d2/fill ratio
#   57 global_lowref    O(cols) all columns + low reference count
#   58 global_livemin   O(cols*rowrefs) all columns + low live refs
#   59 global_livemax   O(cols*rowrefs) all columns + high live refs
#   60 global_random    O(cols) all columns + seeded randomized tie
#   61 top32_lowref     O(cols) top-K/default pool + low reference count
#   62 top64_ratio      O(cols + 64*rowrefs) top-K/default pool + d2/fill ratio
#   63 top64_minfill    O(cols + 64*rowrefs) top-K/default pool + min-fill
#   64 top32_d3         O(cols + 32*rowrefs) top-K/default pool + degree-3 support
# sweep: trials=40 threads=40 source=loss loss=0.100 overhead=0 rows_override=0 seed=0x6c0ffee1
method_id,method,cost,N,rows,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,build_us,greedy_us,total_us
0,default,"O(cols) cached degree-2 refs",128,128,loss,40,7.33,1.60,7,10,13,13,7.33,1.60,7,10,13,13,3.35,4.78,31.43,113.05,54.58,7.33,28.5,12.8,92.7
0,default,"O(cols) cached degree-2 refs",2048,2048,loss,40,37.38,4.09,37,43,49,49,37.38,4.09,37,43,49,49,37.38,1.00,37.38,1554.00,800.15,37.38,675.3,206.6,951.2
0,default,"O(cols) cached degree-2 refs",32000,32000,loss,40,213.70,14.69,214,233,245,245,213.70,14.69,214,233,245,245,212.70,1.62,215.95,32000.00,15997.45,213.70,29439.3,10810.7,41436.2
1,exact_d2,"O(cols*rowrefs) exact degree-2",128,128,loss,40,7.20,1.52,7,10,11,11,7.20,1.52,7,10,11,11,3.00,5.10,34.35,113.85,55.23,7.20,40.3,66.8,181.1
1,exact_d2,"O(cols*rowrefs) exact degree-2",2048,2048,loss,40,37.35,4.45,38,44,48,48,37.35,4.45,38,44,48,48,37.33,1.02,37.40,1543.65,795.05,37.35,571.4,993.8,1591.8
1,exact_d2,"O(cols*rowrefs) exact degree-2",32000,32000,loss,40,213.07,13.49,214,233,234,234,213.07,13.49,214,233,234,234,212.30,1.55,214.62,32000.00,16000.10,213.07,9180.6,213321.0,222908.7
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",128,128,loss,40,7.22,1.33,7,9,11,11,7.22,1.33,7,9,11,11,3.00,5.17,34.48,116.17,55.85,7.22,41.6,69.8,115.1
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",2048,2048,loss,40,38.95,4.44,39,45,49,49,38.95,4.44,39,45,49,49,38.92,1.02,39.00,1687.55,867.98,38.95,535.6,1067.5,1628.3
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",32000,32000,loss,40,202.53,15.69,201,229,234,234,202.53,15.69,201,229,234,234,202.05,1.35,203.57,32000.00,16003.98,202.53,6251.4,165649.4,172253.2
3,weighted,"O(cols*rowrefs) weighted exact/look/fill",128,128,loss,40,7.55,1.58,7,11,11,11,7.55,1.58,7,11,11,11,4.60,3.83,21.80,114.38,55.05,7.55,41.7,70.2,115.8
3,weighted,"O(cols*rowrefs) weighted exact/look/fill",2048,2048,loss,40,37.92,4.43,38,45,46,46,37.92,4.43,38,45,46,46,37.90,1.02,37.98,1506.78,776.77,37.92,555.5,951.5,1532.2
3,weighted,"O(cols*rowrefs) weighted exact/look/fill",32000,32000,loss,40,214.70,17.47,216,246,252,252,214.70,17.47,216,246,252,252,214.35,1.30,215.40,32000.00,15997.75,214.70,6197.2,213056.6,219609.2
4,min_fill,"O(cols*rowrefs) Markowitz-style fill",128,128,loss,40,11.82,2.53,12,16,17,17,11.82,2.53,12,16,17,17,9.40,2.62,20.62,115.30,55.50,11.82,41.8,90.7,136.4
4,min_fill,"O(cols*rowrefs) Markowitz-style fill",2048,2048,loss,40,46.75,7.66,47,56,62,62,46.75,7.66,47,56,62,62,46.73,1.02,46.80,1533.25,793.58,46.75,550.4,3311.5,3887.4
4,min_fill,"O(cols*rowrefs) Markowitz-style fill",32000,32000,loss,40,286.15,29.65,291,329,358,358,286.15,29.65,291,329,358,358,286.15,1.00,286.15,32000.00,16007.42,286.15,6353.4,1145999.4,1152744.0
5,min_fillsq,"O(cols*rowrefs) quadratic fill",128,128,loss,40,11.22,2.99,11,16,17,17,11.22,2.99,11,16,17,17,8.53,3.35,27.73,115.83,55.30,11.22,60.7,91.2,156.3
5,min_fillsq,"O(cols*rowrefs) quadratic fill",2048,2048,loss,40,45.48,5.75,44,53,67,67,45.48,5.75,44,53,67,67,45.45,1.02,45.52,1567.50,808.58,45.48,524.9,3277.4,3825.6
5,min_fillsq,"O(cols*rowrefs) quadratic fill",32000,32000,loss,40,287.40,24.71,285,331,348,348,287.40,24.71,285,331,348,348,287.40,1.00,287.40,32000.00,16007.42,287.40,6305.8,1116571.9,1123239.1
6,dup_partner,"O(cols*rowrefs) repeated degree-2 partners",128,128,loss,40,6.97,1.23,7,9,9,9,6.97,1.23,7,9,9,9,3.00,4.92,29.02,113.10,54.83,6.97,41.3,67.1,112.7
6,dup_partner,"O(cols*rowrefs) repeated degree-2 partners",2048,2048,loss,40,37.98,3.84,37,43,52,52,37.98,3.84,37,43,52,52,37.80,1.18,38.42,1619.47,836.12,37.98,558.0,1057.1,1638.3
6,dup_partner,"O(cols*rowrefs) repeated degree-2 partners",32000,32000,loss,40,214.75,17.45,217,234,262,262,214.75,17.45,217,234,262,262,213.65,1.68,217.05,32000.00,16004.67,214.75,6206.0,197402.4,203938.8
7,random_tie,"O(cols) seeded randomized default ties",128,128,loss,40,7.35,1.49,7,10,11,11,7.35,1.49,7,10,11,11,3.27,4.78,30.80,114.42,55.17,7.35,41.9,17.2,63.1
7,random_tie,"O(cols) seeded randomized default ties",2048,2048,loss,40,37.42,3.60,38,44,48,48,37.42,3.60,38,44,48,48,37.38,1.05,37.52,1606.60,824.67,37.42,514.7,220.0,758.2
7,random_tie,"O(cols) seeded randomized default ties",32000,32000,loss,40,209.75,14.92,209,238,246,246,209.75,14.92,209,238,246,246,208.82,1.57,211.60,32000.00,16002.55,209.75,6251.1,11062.2,17637.6
8,rowrefs,"O(cols) column reference count",128,128,loss,40,8.25,1.79,8,12,13,13,8.25,1.79,8,12,13,13,2.08,7.17,58.80,112.53,54.88,8.25,38.1,14.2,56.0
8,rowrefs,"O(cols) column reference count",2048,2048,loss,40,41.33,5.75,42,48,56,56,41.33,5.75,42,48,56,56,41.08,1.23,41.88,1568.10,806.75,41.33,591.0,203.5,820.8
8,rowrefs,"O(cols) column reference count",32000,32000,loss,40,229.88,16.18,231,255,260,260,229.88,16.18,231,255,260,260,223.15,3.58,254.32,32000.00,15988.30,229.88,6091.6,11259.5,17708.2
9,min_row_degree,"O(rows*degree) minimum live row",128,128,loss,40,7.97,1.56,8,11,11,11,7.97,1.56,8,11,11,11,4.35,4.55,30.52,118.88,56.62,7.97,32.3,15.1,50.2
9,min_row_degree,"O(rows*degree) minimum live row",2048,2048,loss,40,41.20,5.11,41,48,53,53,41.20,5.11,41,48,53,53,41.08,1.12,41.45,1588.58,818.00,41.20,583.6,198.1,807.9
9,min_row_degree,"O(rows*degree) minimum live row",32000,32000,loss,40,249.50,18.58,252,274,285,285,249.50,18.58,252,274,285,285,248.12,1.85,252.40,32000.00,15994.75,249.50,6179.2,10040.4,16606.0
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",128,128,loss,40,7.10,1.48,7,10,10,10,7.10,1.48,7,10,10,10,5.75,2.27,12.55,113.15,54.85,7.10,38.0,27.9,69.2
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",2048,2048,loss,40,36.60,4.29,36,44,50,50,36.60,4.29,36,44,50,50,36.60,1.00,36.60,1645.00,848.30,36.60,559.6,423.1,1007.0
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",32000,32000,loss,40,190.38,14.48,188,209,233,233,190.38,14.48,188,209,233,233,190.38,1.00,190.38,32000.00,16008.33,190.38,6216.0,34941.3,41524.4
11,topk8_lookfill,"O(cols + 8*rowrefs) top-K look/fill",128,128,loss,40,7.85,1.56,8,10,11,11,7.85,1.56,8,10,11,11,3.33,5.38,36.80,116.35,55.50,7.85,42.8,42.3,89.0
11,topk8_lookfill,"O(cols + 8*rowrefs) top-K look/fill",2048,2048,loss,40,38.10,3.87,38,45,45,45,38.10,3.87,38,45,45,45,38.08,1.02,38.15,1521.38,783.70,38.10,564.9,295.6,885.2
11,topk8_lookfill,"O(cols + 8*rowrefs) top-K look/fill",32000,32000,loss,40,207.47,14.75,206,231,250,250,207.47,14.75,206,231,250,250,206.85,1.55,209.03,32000.00,16014.50,207.47,6236.5,14386.6,20995.0
12,exact_ratio,"O(cols*rowrefs) exact degree-2 per fill",128,128,loss,40,8.25,1.48,8,11,13,13,8.25,1.48,8,11,13,13,7.03,2.10,13.40,111.97,54.67,8.25,40.5,70.8,114.9
12,exact_ratio,"O(cols*rowrefs) exact degree-2 per fill",2048,2048,loss,40,39.17,4.32,39,46,47,47,39.17,4.32,39,46,47,47,39.17,1.00,39.17,1474.62,760.75,39.17,607.6,1074.5,1708.8
12,exact_ratio,"O(cols*rowrefs) exact degree-2 per fill",32000,32000,loss,40,222.18,16.01,222,250,261,261,222.18,16.01,222,250,261,261,222.18,1.00,222.18,32000.00,16001.65,222.18,6246.8,242651.5,249266.9
13,min_maxrow,"O(cols*rowrefs) minimize worst touched row",128,128,loss,40,11.15,2.06,11,14,15,15,11.15,2.06,11,14,15,15,8.03,3.60,28.40,111.67,54.52,11.15,34.1,68.3,105.8
13,min_maxrow,"O(cols*rowrefs) minimize worst touched row",2048,2048,loss,40,47.05,6.85,47,58,60,60,47.05,6.85,47,58,60,60,47.00,1.05,47.15,1547.05,795.38,47.05,490.5,3352.4,3863.9
13,min_maxrow,"O(cols*rowrefs) minimize worst touched row",32000,32000,loss,40,278.85,25.01,278,319,324,324,278.85,25.01,278,319,324,324,278.85,1.00,278.85,32000.00,16001.15,278.85,6307.9,1084127.4,1090748.1
14,d3_support,"O(cols*rowrefs) degree-3 support",128,128,loss,40,7.28,1.40,7,10,10,10,7.28,1.40,7,10,10,10,3.65,4.50,27.88,114.80,56.08,7.28,43.9,76.7,125.5
14,d3_support,"O(cols*rowrefs) degree-3 support",2048,2048,loss,40,37.60,4.18,37,44,46,46,37.60,4.18,37,44,46,46,37.60,1.00,37.60,1556.88,799.42,37.60,538.4,924.6,1485.9
14,d3_support,"O(cols*rowrefs) degree-3 support",32000,32000,loss,40,211.18,13.88,214,228,243,243,211.18,13.88,214,228,243,243,210.62,1.32,212.28,32000.00,15999.85,211.18,6259.1,192862.0,199477.4
15,rq_minrow,"O(rows*degree) Raptor-style minimum row degree",128,128,loss,40,8.35,1.57,9,10,11,11,8.35,1.57,9,10,11,11,4.53,4.72,32.25,112.20,55.02,8.35,42.1,15.6,61.5
15,rq_minrow,"O(rows*degree) Raptor-style minimum row degree",2048,2048,loss,40,41.75,5.72,42,51,54,54,41.75,5.72,42,51,54,54,41.65,1.07,42.00,1548.22,797.48,41.75,592.2,200.5,818.6
15,rq_minrow,"O(rows*degree) Raptor-style minimum row degree",32000,32000,loss,40,253.65,20.75,252,288,302,302,253.65,20.75,252,288,302,302,252.97,1.48,255.05,32000.00,16005.62,253.65,6159.4,9621.4,16127.9
16,topk4_lookfill,"O(cols + 4*rowrefs) top-K look/fill",128,128,loss,40,7.40,1.85,8,10,10,10,7.40,1.85,8,10,10,10,3.75,4.60,30.95,114.50,54.67,7.40,36.8,24.1,64.2
16,topk4_lookfill,"O(cols + 4*rowrefs) top-K look/fill",2048,2048,loss,40,37.27,4.53,37,46,50,50,37.27,4.53,37,46,50,50,37.25,1.02,37.33,1551.40,797.85,37.27,544.8,227.0,795.7
16,topk4_lookfill,"O(cols + 4*rowrefs) top-K look/fill",32000,32000,loss,40,209.40,15.49,209,234,241,241,209.40,15.49,209,234,241,241,208.57,1.55,211.10,32000.00,16004.17,209.40,6005.3,12234.8,18617.0
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",128,128,loss,40,7.35,1.70,7,10,12,12,7.35,1.70,7,10,12,12,3.73,4.42,27.45,113.97,54.90,7.35,40.8,47.2,91.5
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",2048,2048,loss,40,36.42,3.50,37,43,43,43,36.42,3.50,37,43,43,43,36.38,1.05,36.52,1564.40,804.27,36.42,554.4,306.4,885.7
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",32000,32000,loss,40,210.60,14.20,208,240,242,242,210.60,14.20,208,240,242,242,209.72,1.55,212.50,32000.00,15997.25,210.60,6038.2,18937.6,25329.2
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",128,128,loss,40,7.25,1.37,7,10,11,11,7.25,1.37,7,10,11,11,2.98,5.20,34.10,112.72,54.65,7.25,38.3,28.9,70.7
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",2048,2048,loss,40,36.58,3.75,36,43,44,44,36.58,3.75,36,43,44,44,36.58,1.00,36.58,1630.62,839.20,36.58,572.9,453.8,1051.5
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",32000,32000,loss,40,193.18,12.74,196,209,213,213,193.18,12.74,196,209,213,213,192.65,1.43,194.28,32000.00,16004.45,193.18,6071.7,35859.4,42290.1
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",128,128,loss,40,7.25,1.68,7,10,11,11,7.25,1.68,7,10,11,11,6.67,1.48,8.55,113.95,55.58,7.25,46.0,62.9,112.6
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",2048,2048,loss,40,35.12,4.09,35,41,42,42,35.12,4.09,35,41,42,42,35.12,1.00,35.12,1610.42,827.85,35.12,590.4,516.8,1132.8
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",32000,32000,loss,40,192.65,11.58,193,218,224,224,192.65,11.58,193,218,224,224,192.65,1.00,192.65,32000.00,16003.70,192.65,6057.2,41728.8,48148.1
