# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols*rowrefs) exact degree-2
#    2 lookahead        O(cols*rowrefs) degree-2 partner potential
#    3 weighted         O(cols*rowrefs) weighted exact/look/fill
#    4 min_fill         O(cols*rowrefs) Markowitz-style fill
#    5 min_fillsq       O(cols*rowrefs) quadratic fill
#    6 dup_partner      O(cols*rowrefs) repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols*rowrefs) exact degree-2 per fill
#   13 min_maxrow       O(cols*rowrefs) minimize worst touched row
#   14 d3_support       O(cols*rowrefs) degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
#   21 top32_lookfill   O(cols + 32*rowrefs) top-K/default pool + look/fill score
#   22 top64_lookfill   O(cols + 64*rowrefs) top-K/default pool + look/fill score
#   23 top8_ratio       O(cols + 8*rowrefs) top-K/default pool + d2/fill ratio
#   24 top16_ratio      O(cols + 16*rowrefs) top-K/default pool + d2/fill ratio
#   25 top32_ratio      O(cols + 32*rowrefs) top-K/default pool + d2/fill ratio
#   26 top16_dup        O(cols + 16*rowrefs) top-K/default pool + duplicate partners
#   27 top16_d3         O(cols + 16*rowrefs) top-K/default pool + degree-3 support
#   28 top16_livemin    O(cols + 16*rowrefs) top-K/default pool + low live refs
#   29 top16_lowref     O(cols) top-K/default pool + low reference count
#   30 top16_livemax    O(cols + 16*rowrefs) top-K/default pool + high live refs
#   31 top32_minfill    O(cols + 32*rowrefs) top-K/default pool + min-fill
#   32 top32_maxrow     O(cols + 32*rowrefs) top-K/default pool + min max-row
#   33 d2pool_default   O(rows*degree + candidates) all degree-2 endpoints + default score
#   34 d2pool_lowref    O(rows*degree + candidates) all degree-2 endpoints + low refs
#   35 d2pool_lookfill  O(rows*degree + candidates*rowrefs) all degree-2 endpoints + look/fill
#   36 d2pool_dup       O(rows*degree + candidates*rowrefs) all degree-2 endpoints + duplicate partners
#   37 d2pool_ratio     O(rows*degree + candidates*rowrefs) all degree-2 endpoints + d2/fill ratio
#   38 d2pool_minfill   O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min-fill
#   39 d2pool_maxrow    O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min max-row
#   40 rqcc_lowref      O(rows*degree + cols) largest degree-2 component + low refs
#   41 rqcc_lookfill    O(rows*degree + cols + cc*rowrefs) largest degree-2 component + look/fill
#   42 rqcc_dup         O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners
#   43 rqcc_ratio       O(rows*degree + cols + cc*rowrefs) largest degree-2 component + d2/fill ratio
#   44 rqcc_minfill     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min-fill
#   45 rqcc_livemin     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + low live refs
#   46 rqcc_maxrow      O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min max-row
#   47 minrow_default   O(rows*degree + row_degree) first minimum row + default score
#   48 minrow_lowref    O(rows*degree + row_degree) first minimum row + low refs
#   49 minrow_minfill   O(rows*degree + row_degree*rowrefs) first minimum row + min-fill
#   50 minrow_lookfill  O(rows*degree + row_degree*rowrefs) first minimum row + look/fill
#   51 minrow_ratio     O(rows*degree + row_degree*rowrefs) first minimum row + d2/fill ratio
#   52 allmin_default   O(rows*degree + candidates) all minimum rows + default score
#   53 allmin_lowref    O(rows*degree + candidates) all minimum rows + low refs
#   54 allmin_minfill   O(rows*degree + candidates*rowrefs) all minimum rows + min-fill
#   55 allmin_lookfill  O(rows*degree + candidates*rowrefs) all minimum rows + look/fill
#   56 allmin_ratio     O(rows*degree + candidates*rowrefs) all minimum rows + d2/fill ratio
#   57 global_lowref    O(cols) all columns + low reference count
#   58 global_livemin   O(cols*rowrefs) all columns + low live refs
#   59 global_livemax   O(cols*rowrefs) all columns + high live refs
#   60 global_random    O(cols) all columns + seeded randomized tie
#   61 top32_lowref     O(cols) top-K/default pool + low reference count
#   62 top64_ratio      O(cols + 64*rowrefs) top-K/default pool + d2/fill ratio
#   63 top64_minfill    O(cols + 64*rowrefs) top-K/default pool + min-fill
#   64 top32_d3         O(cols + 32*rowrefs) top-K/default pool + degree-3 support
# sweep: trials=40 threads=40 source=repair loss=0.100 overhead=0 rows_override=0 seed=0x6c0ffee3
method_id,method,cost,N,rows,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,build_us,greedy_us,total_us
0,default,"O(cols) cached degree-2 refs",128,128,repair,40,6.17,1.24,6,8,8,8,6.17,1.24,6,8,8,8,3.55,3.62,18.02,126.62,57.88,6.17,26.2,10.6,47.4
0,default,"O(cols) cached degree-2 refs",2048,2048,repair,40,35.55,1.48,36,37,37,37,35.55,1.48,36,37,37,37,33.83,2.30,39.85,1385.95,703.52,35.55,666.6,239.9,975.8
0,default,"O(cols) cached degree-2 refs",32000,32000,repair,40,233.80,2.90,235,237,237,237,233.80,2.90,235,237,237,237,231.35,2.42,239.55,32000.00,15960.48,233.80,34189.7,16667.9,51471.6
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",128,128,repair,40,5.42,1.05,5,7,7,7,5.42,1.05,5,7,7,7,4.80,1.62,6.67,126.55,57.60,5.42,28.4,22.8,53.9
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",2048,2048,repair,40,33.70,1.38,34,36,36,36,33.70,1.38,34,36,36,36,33.70,1.00,33.70,1387.42,704.40,33.70,521.8,813.0,1349.5
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",32000,32000,repair,40,211.20,1.54,211,213,215,215,211.20,1.54,211,213,215,215,211.20,1.00,211.20,32000.00,15960.70,211.20,14724.2,65522.2,80716.2
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",128,128,repair,40,5.28,1.14,5,7,7,7,5.28,1.14,5,7,7,7,3.33,2.95,13.88,126.47,57.70,5.28,29.9,22.2,54.8
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",2048,2048,repair,40,33.33,1.63,33,36,36,36,33.33,1.63,33,36,36,36,31.12,2.23,38.33,1387.53,704.42,33.33,532.3,838.8,1389.3
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",32000,32000,repair,40,212.18,1.84,212,216,216,216,212.18,1.84,212,216,216,216,210.93,1.70,214.68,32000.00,15960.27,212.18,12019.6,64598.1,76893.2
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",128,128,repair,40,5.15,1.17,5,7,7,7,5.15,1.17,5,7,7,7,4.85,1.30,5.75,126.40,57.27,5.15,28.6,37.8,68.9
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",2048,2048,repair,40,33.35,1.67,33,36,36,36,33.35,1.67,33,36,36,36,33.35,1.00,33.35,1386.65,703.98,33.35,496.0,1023.8,1535.5
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",32000,32000,repair,40,212.12,2.08,213,216,216,216,212.12,2.08,213,216,216,216,212.12,1.00,212.12,32000.00,15960.35,212.12,8284.8,74988.0,83508.6
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",128,128,repair,40,5.60,1.04,6,7,7,7,5.60,1.04,6,7,7,7,3.35,3.17,14.55,126.70,57.98,5.60,31.4,60.0,94.7
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",2048,2048,repair,40,34.10,2.13,34,37,38,38,34.10,2.13,34,37,38,38,33.52,1.52,35.30,1388.10,704.60,34.10,495.6,1060.5,1573.5
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",32000,32000,repair,40,228.28,5.37,228,238,238,238,228.28,5.37,228,238,238,238,227.85,1.30,229.12,32000.00,15960.27,228.28,7095.7,78511.1,85873.4
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",128,128,repair,40,5.30,1.21,5,7,7,7,5.30,1.21,5,7,7,7,4.80,1.50,6.30,126.70,57.55,5.30,31.9,25.7,60.8
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",2048,2048,repair,40,33.45,1.66,33,36,36,36,33.45,1.66,33,36,36,36,33.45,1.00,33.45,1386.97,704.20,33.45,492.3,766.3,1274.3
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",32000,32000,repair,40,211.45,1.66,212,213,215,215,211.45,1.66,212,213,215,215,211.45,1.00,211.45,32000.00,15960.62,211.45,7476.0,63312.4,70996.9
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",128,128,repair,40,5.15,1.01,5,7,7,7,5.15,1.01,5,7,7,7,3.40,2.75,11.75,126.33,57.27,5.15,32.5,34.2,69.8
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",2048,2048,repair,40,33.45,1.58,33,36,36,36,33.45,1.58,33,36,36,36,31.23,2.17,38.35,1387.80,704.62,33.45,495.4,844.9,1357.4
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",32000,32000,repair,40,211.35,1.86,211,215,215,215,211.35,1.86,211,215,215,215,210.38,1.75,213.30,32000.00,15960.73,211.35,7079.6,69875.1,77186.8
43,rqcc_ratio,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + d2/fill ratio",128,128,repair,40,5.28,1.05,5,7,7,7,5.28,1.05,5,7,7,7,5.05,1.23,5.72,126.17,57.33,5.28,34.9,38.2,76.3
