# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols*rowrefs) exact degree-2
#    2 lookahead        O(cols*rowrefs) degree-2 partner potential
#    3 weighted         O(cols*rowrefs) weighted exact/look/fill
#    4 min_fill         O(cols*rowrefs) Markowitz-style fill
#    5 min_fillsq       O(cols*rowrefs) quadratic fill
#    6 dup_partner      O(cols*rowrefs) repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols*rowrefs) exact degree-2 per fill
#   13 min_maxrow       O(cols*rowrefs) minimize worst touched row
#   14 d3_support       O(cols*rowrefs) degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
#   21 top32_lookfill   O(cols + 32*rowrefs) top-K/default pool + look/fill score
#   22 top64_lookfill   O(cols + 64*rowrefs) top-K/default pool + look/fill score
#   23 top8_ratio       O(cols + 8*rowrefs) top-K/default pool + d2/fill ratio
#   24 top16_ratio      O(cols + 16*rowrefs) top-K/default pool + d2/fill ratio
#   25 top32_ratio      O(cols + 32*rowrefs) top-K/default pool + d2/fill ratio
#   26 top16_dup        O(cols + 16*rowrefs) top-K/default pool + duplicate partners
#   27 top16_d3         O(cols + 16*rowrefs) top-K/default pool + degree-3 support
#   28 top16_livemin    O(cols + 16*rowrefs) top-K/default pool + low live refs
#   29 top16_lowref     O(cols) top-K/default pool + low reference count
#   30 top16_livemax    O(cols + 16*rowrefs) top-K/default pool + high live refs
#   31 top32_minfill    O(cols + 32*rowrefs) top-K/default pool + min-fill
#   32 top32_maxrow     O(cols + 32*rowrefs) top-K/default pool + min max-row
#   33 d2pool_default   O(rows*degree + candidates) all degree-2 endpoints + default score
#   34 d2pool_lowref    O(rows*degree + candidates) all degree-2 endpoints + low refs
#   35 d2pool_lookfill  O(rows*degree + candidates*rowrefs) all degree-2 endpoints + look/fill
#   36 d2pool_dup       O(rows*degree + candidates*rowrefs) all degree-2 endpoints + duplicate partners
#   37 d2pool_ratio     O(rows*degree + candidates*rowrefs) all degree-2 endpoints + d2/fill ratio
#   38 d2pool_minfill   O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min-fill
#   39 d2pool_maxrow    O(rows*degree + candidates*rowrefs) all degree-2 endpoints + min max-row
#   40 rqcc_lowref      O(rows*degree + cols) largest degree-2 component + low refs
#   41 rqcc_lookfill    O(rows*degree + cols + cc*rowrefs) largest degree-2 component + look/fill
#   42 rqcc_dup         O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners
#   43 rqcc_ratio       O(rows*degree + cols + cc*rowrefs) largest degree-2 component + d2/fill ratio
#   44 rqcc_minfill     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min-fill
#   45 rqcc_livemin     O(rows*degree + cols + cc*rowrefs) largest degree-2 component + low live refs
#   46 rqcc_maxrow      O(rows*degree + cols + cc*rowrefs) largest degree-2 component + min max-row
#   47 minrow_default   O(rows*degree + row_degree) first minimum row + default score
#   48 minrow_lowref    O(rows*degree + row_degree) first minimum row + low refs
#   49 minrow_minfill   O(rows*degree + row_degree*rowrefs) first minimum row + min-fill
#   50 minrow_lookfill  O(rows*degree + row_degree*rowrefs) first minimum row + look/fill
#   51 minrow_ratio     O(rows*degree + row_degree*rowrefs) first minimum row + d2/fill ratio
#   52 allmin_default   O(rows*degree + candidates) all minimum rows + default score
#   53 allmin_lowref    O(rows*degree + candidates) all minimum rows + low refs
#   54 allmin_minfill   O(rows*degree + candidates*rowrefs) all minimum rows + min-fill
#   55 allmin_lookfill  O(rows*degree + candidates*rowrefs) all minimum rows + look/fill
#   56 allmin_ratio     O(rows*degree + candidates*rowrefs) all minimum rows + d2/fill ratio
#   57 global_lowref    O(cols) all columns + low reference count
#   58 global_livemin   O(cols*rowrefs) all columns + low live refs
#   59 global_livemax   O(cols*rowrefs) all columns + high live refs
#   60 global_random    O(cols) all columns + seeded randomized tie
#   61 top32_lowref     O(cols) top-K/default pool + low reference count
#   62 top64_ratio      O(cols + 64*rowrefs) top-K/default pool + d2/fill ratio
#   63 top64_minfill    O(cols + 64*rowrefs) top-K/default pool + min-fill
#   64 top32_d3         O(cols + 32*rowrefs) top-K/default pool + degree-3 support
# sweep: trials=40 threads=40 source=systematic loss=0.100 overhead=0 rows_override=0 seed=0x6c0ffee3
method_id,method,cost,N,rows,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,build_us,greedy_us,total_us
0,default,"O(cols) cached degree-2 refs",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,2.00,8.00,65.00,121.00,57.00,9.00,27.4,10.2,65.9
0,default,"O(cols) cached degree-2 refs",2048,2048,systematic,40,36.00,0.00,36,36,36,36,36.00,0.00,36,36,36,36,36.00,1.00,36.00,1874.00,957.00,36.00,589.5,213.7,871.5
0,default,"O(cols) cached degree-2 refs",32000,32000,systematic,40,207.00,0.00,207,207,207,207,207.00,0.00,207,207,207,207,207.00,1.00,207.00,32000.00,16034.00,207.00,36351.7,14337.6,51333.7
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,6.00,4.00,21.00,121.00,57.00,9.00,26.8,23.1,52.5
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",2048,2048,systematic,40,37.00,0.00,37,37,37,37,37.00,0.00,37,37,37,37,37.00,1.00,37.00,1874.00,957.00,37.00,397.6,460.2,871.1
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",32000,32000,systematic,40,191.00,0.00,191,191,191,191,191.00,0.00,191,191,191,191,191.00,1.00,191.00,32000.00,16034.00,191.00,9451.7,42466.7,52284.6
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,2.00,8.00,65.00,121.00,57.00,9.00,35.0,28.4,66.3
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",2048,2048,systematic,40,37.00,0.00,37,37,37,37,37.00,0.00,37,37,37,37,37.00,1.00,37.00,1874.00,957.00,37.00,496.7,522.6,1037.7
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",32000,32000,systematic,40,191.00,0.00,191,191,191,191,191.00,0.00,191,191,191,191,190.00,2.00,193.00,32000.00,16034.00,191.00,9967.6,38765.7,48972.6
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,9.00,1.00,9.00,121.00,57.00,9.00,32.2,46.5,81.7
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",2048,2048,systematic,40,37.00,0.00,37,37,37,37,37.00,0.00,37,37,37,37,37.00,1.00,37.00,1874.00,957.00,37.00,489.0,728.4,1235.4
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",32000,32000,systematic,40,191.00,0.00,191,191,191,191,191.00,0.00,191,191,191,191,191.00,1.00,191.00,32000.00,16034.00,191.00,12081.0,53828.6,66165.3
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,4.00,6.00,39.00,121.00,57.00,9.00,31.4,67.7,102.5
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",2048,2048,systematic,40,36.00,0.00,36,36,36,36,36.00,0.00,36,36,36,36,36.00,1.00,36.00,1874.00,957.00,36.00,489.4,662.0,1169.8
22,top64_lookfill,"O(cols + 64*rowrefs) top-K/default pool + look/fill score",32000,32000,systematic,40,206.00,0.00,206,206,206,206,206.00,0.00,206,206,206,206,206.00,1.00,206.00,32000.00,16034.00,206.00,11699.9,58121.8,70114.3
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,6.00,4.00,21.00,121.00,57.00,9.00,34.2,29.2,66.8
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",2048,2048,systematic,40,37.00,0.00,37,37,37,37,37.00,0.00,37,37,37,37,37.00,1.00,37.00,1874.00,957.00,37.00,528.6,515.7,1066.2
40,rqcc_lowref,"O(rows*degree + cols) largest degree-2 component + low refs",32000,32000,systematic,40,191.00,0.00,191,191,191,191,191.00,0.00,191,191,191,191,191.00,1.00,191.00,32000.00,16034.00,191.00,9958.7,41321.4,51618.1
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",128,128,systematic,40,9.00,0.00,9,9,9,9,9.00,0.00,9,9,9,9,2.00,8.00,65.00,121.00,57.00,9.00,35.6,42.0,80.9
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",2048,2048,systematic,40,37.00,0.00,37,37,37,37,37.00,0.00,37,37,37,37,37.00,1.00,37.00,1874.00,957.00,37.00,569.2,637.8,1230.8
42,rqcc_dup,"O(rows*degree + cols + cc*rowrefs) largest degree-2 component + duplicate partners",32000,32000,systematic,40,191.00,0.00,191,191,191,191,191.00,0.00,191,191,191,191,190.00,2.00,193.00,32000.00,16034.00,191.00,9267.8,37405.1,46972.5
