# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols*rowrefs) exact degree-2
#    2 lookahead        O(cols*rowrefs) degree-2 partner potential
#    3 weighted         O(cols*rowrefs) weighted exact/look/fill
#    4 min_fill         O(cols*rowrefs) Markowitz-style fill
#    5 min_fillsq       O(cols*rowrefs) quadratic fill
#    6 dup_partner      O(cols*rowrefs) repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols*rowrefs) exact degree-2 per fill
#   13 min_maxrow       O(cols*rowrefs) minimize worst touched row
#   14 d3_support       O(cols*rowrefs) degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
# sweep: trials=60 threads=16 source=loss loss=0.100 overhead=0 rows_override=0 seed=0x5eed5678
method_id,method,cost,N,rows,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,build_us,greedy_us,total_us
0,default,"O(cols) cached degree-2 refs",128,128,loss,60,7.10,1.49,7,9,11,11,7.10,1.49,7,9,11,11,2.92,5.07,32.73,112.87,55.05,7.10,31.4,13.6,61.7
0,default,"O(cols) cached degree-2 refs",2048,2048,loss,60,37.07,3.92,37,44,44,46,37.07,3.92,37,44,44,46,37.03,1.03,37.13,1506.50,775.90,37.07,401.1,186.6,605.7
0,default,"O(cols) cached degree-2 refs",32000,32000,loss,60,213.08,15.23,213,236,246,246,213.08,15.23,213,236,246,246,212.17,1.65,215.05,32000.00,16001.82,213.08,9441.9,12715.6,22773.9
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",128,128,loss,60,7.33,1.36,7,9,10,10,7.33,1.36,7,9,10,10,3.55,4.68,29.17,114.18,55.05,7.33,34.0,58.5,95.7
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",2048,2048,loss,60,38.17,4.54,39,47,47,51,38.17,4.54,39,47,47,51,38.17,1.00,38.17,1522.83,785.22,38.17,375.9,849.4,1240.4
2,lookahead,"O(cols*rowrefs) degree-2 partner potential",32000,32000,loss,60,207.40,13.79,207,229,234,235,207.40,13.79,207,229,234,235,206.92,1.38,208.40,32000.00,16003.88,207.40,6175.8,187883.8,194305.0
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",128,128,loss,60,7.38,1.70,7,10,10,11,7.38,1.70,7,10,10,11,5.45,2.60,14.75,114.38,55.10,7.38,35.0,31.9,70.0
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",2048,2048,loss,60,37.23,3.40,37,44,45,46,37.23,3.40,37,44,45,46,37.23,1.00,37.23,1505.78,776.90,37.23,378.6,396.9,789.3
10,raptorq_d2cc,"O(rows*degree + cols) largest degree-2 component",32000,32000,loss,60,194.77,12.33,193,212,218,221,194.77,12.33,193,212,218,221,194.77,1.00,194.77,32000.00,16004.57,194.77,5851.6,37450.9,43510.0
11,topk8_lookfill,"O(cols + 8*rowrefs) top-K look/fill",128,128,loss,60,7.22,1.17,7,9,10,10,7.22,1.17,7,9,10,10,3.52,4.60,27.12,113.78,55.48,7.22,38.5,36.4,78.4
