# source=/tmp/lookahead_cost/lookahead_exact_controls_N1000_6400_t20_j10.csv
# command=peel_sweep --N 1000,6400 --N-jitter 10 --structures lt_m2_c16,lt_m1_c64,rs_c001_d50_c128,lt_m2_c3200,wirehair_rand --methods 18,40,119,120,123,124 --trials 20 --overhead 0 --threads 128 --pdf
# note=small exact-copy one-step scoring control; omitted at N=32000 because smoke testing showed multi-second trials
# xor_calibration_us_per_xor_1280=0.022577343
# xor_calibration_us_per_xor_100kib=4.309740442
# xor_calibration_us_per_xor_1mib=45.927485992
method_id,method,cost,structure,N,N_jitter,actual_N_mu,actual_N_min,actual_N_max,matrix_rows_mu,matrix_rows_min,matrix_rows_max,matrix_refs_mu,row_refs_mu,row_xors_mu,matrix_xors_mu,overhead,overhead_pct,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,build_us,greedy_us,total_us,cols_pdf,rows_pdf,greedy_xor_eq_1280,solve_plus_greedy_xors_1280,matrix_solve_plus_greedy_xors_1280,greedy_xor_eq_100kib,solve_plus_greedy_xors_100kib,matrix_solve_plus_greedy_xors_100kib,greedy_xor_eq_1mib,solve_plus_greedy_xors_1mib,matrix_solve_plus_greedy_xors_1mib
18,rqd2_default,O(rows*degree + cols) largest degree-2 component/default tie,lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,23.10,5.07,22,29,39,39,23.10,5.07,22,29,39,39,22.70,1.35,24.20,909.15,463.70,23.10,3741.75,559.30,4301.05,686.3,247.2,947.7,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,10949.0297,15250.0797,19087.1297,57.3584,4358.4084,8195.4584,5.3824,4306.4324,8143.4824
40,rqcc_lowref,O(rows*degree + cols) largest degree-2 component + low refs,lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,23.10,5.07,22,29,39,39,23.10,5.07,22,29,39,39,23.10,1.00,23.10,909.15,463.70,23.10,3814.95,559.30,4374.25,588.6,296.1,892.4,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,13114.9179,17489.1679,21326.2179,68.7048,4442.9548,8280.0048,6.4471,4380.6971,8217.7471
119,av_top16,O(cols + 16*local-avalanche) top16/default + local cascade estimate,lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,21.70,4.71,21,29,36,36,21.70,4.71,21,29,36,36,21.65,1.05,21.80,909.15,463.70,21.70,3761.95,493.10,4255.05,677.5,1295.3,1980.3,16:0.100;17:0.100;19:0.150;20:0.150;21:0.150;23:0.050;25:0.200;29:0.050;36:0.050,16:0.100;17:0.100;19:0.150;20:0.150;21:0.150;23:0.050;25:0.200;29:0.050;36:0.050,57371.6757,61626.7257,65463.7757,300.5517,4555.6017,8392.6517,28.2032,4283.2532,8120.3032
120,av_top64,O(cols + 64*local-avalanche) top64/default + local cascade estimate,lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,21.60,4.72,21,29,36,36,21.60,4.72,21,29,36,36,21.50,1.10,21.90,909.15,463.70,21.60,3763.95,488.80,4252.75,516.3,2246.1,2769.7,16:0.100;17:0.100;18:0.050;19:0.100;20:0.150;21:0.150;23:0.050;24:0.050;25:0.150;29:0.050;36:0.050,16:0.100;17:0.100;18:0.050;19:0.100;20:0.150;21:0.150;23:0.050;24:0.050;25:0.150;29:0.050;36:0.050,99484.6914,103737.4414,107574.4914,521.1683,4773.9183,8610.9683,48.9054,4301.6554,8138.7054
123,sim1_top16,O(cols + 16*copy) top16/default + exact one-step score,lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,21.65,4.68,21,29,36,36,21.65,4.68,21,29,36,36,21.35,1.30,22.65,909.15,463.70,21.65,3753.45,490.65,4244.10,560.2,16233.6,16814.0,16:0.100;17:0.100;19:0.150;20:0.150;21:0.150;23:0.050;24:0.050;25:0.150;29:0.050;36:0.050,16:0.100;17:0.100;19:0.150;20:0.150;21:0.150;23:0.050;24:0.050;25:0.150;29:0.050;36:0.050,719021.7201,723265.8201,727102.8701,3766.7234,8010.8234,11847.8734,353.4615,4597.5615,8434.6115
124,sim1_rqcc16,"O(rows*degree + cols + min(16,cc)*copy) degree-2 CC + exact one-step score",lt_m1_c64,1000,10,1003.05,992,1010,1003.05,992,1010,4840.10,4.8255,3.8255,3837.05,0,0,random-paired,20,23.10,5.07,22,29,39,39,23.10,5.07,22,29,39,39,22.70,1.35,24.20,909.15,463.70,23.10,3741.75,559.30,4301.05,687.2,13478.0,14182.9,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,17:0.050;18:0.150;19:0.050;20:0.100;21:0.100;22:0.100;23:0.050;24:0.100;25:0.050;26:0.050;27:0.050;29:0.100;39:0.050,596970.1572,601271.2072,605108.2572,3127.3345,7428.3845,11265.4345,293.4626,4594.5126,8431.5626
18,rqd2_default,O(rows*degree + cols) largest degree-2 component/default tie,lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.80,5.71,42,50,57,57,42.80,5.71,42,50,57,57,42.80,1.00,42.80,1003.05,538.35,42.80,2500.25,1864.50,4364.75,304.2,158.1,552.9,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,7002.5955,11367.3455,13909.6455,36.6843,4401.4343,6943.7343,3.4424,4368.1924,6910.4924
40,rqcc_lowref,O(rows*degree + cols) largest degree-2 component + low refs,lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.80,5.71,42,50,57,57,42.80,5.71,42,50,57,57,42.80,1.00,42.80,1003.05,538.35,42.80,2524.80,1864.50,4389.30,274.8,155.2,911.9,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;49:0.100;50:0.050;57:0.050,6874.1481,11263.4481,13805.7481,36.0114,4425.3114,6967.6114,3.3792,4392.6792,6934.9792
119,av_top16,O(cols + 16*local-avalanche) top16/default + local cascade estimate,lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.75,5.66,42,50,57,57,42.75,5.66,42,50,57,57,42.75,1.00,42.75,1003.05,538.35,42.75,2504.50,1859.65,4364.15,262.4,803.6,1074.0,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.050;42:0.150;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,35593.2051,39957.3551,42499.6551,186.4613,4550.6113,7092.9113,17.4971,4381.6471,6923.9471
120,av_top64,O(cols + 64*local-avalanche) top64/default + local cascade estimate,lt_m2_c16,1000,10,1003.05,992,1010,1003.05,992,1010,3545.35,3.5346,2.5346,2542.30,0,0,random-paired,20,42.70,5.68,42,50,57,57,42.70,5.68,42,50,57,57,42.70,1.00,42.70,1003.05,538.35,42.70,2505.50,1855.50,4361.00,285.2,1629.5,1921.7,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.100;42:0.100;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,33:0.050;36:0.100;37:0.100;39:0.050;40:0.050;41:0.100;42:0.100;43:0.050;44:0.050;46:0.100;47:0.050;48:0.050;49:0.050;50:0.050;57:0.050,72174.1261,76535.1261,79077.4261,378.0970,4739.0970,7281.3970,35.4798,4396.4798,6938.7798
