N,overhead,structure,method_id,method,trials,actual_N_mu,matrix_rows_mu,cols_mu,cols_var,cols_sd,c50,c95,c99,rows_mu,rows_var,rows_sd,r50,r95,r99,row_refs_mu,row_xors_mu,matrix_refs_mu,matrix_xors_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,combined_xors_mu,build_us,greedy_us,total_us,throughput_per_s
1000,0,wirehair_rand,0,default,400,999.835,999.835,22.8525,19.305743749999998,4.393830191302345,22,31,36,22.8525,19.305743749999998,4.393830191302345,22,31,36,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4089.395,541.5425,4630.9375,8833.41,393.75,87.4,521.775,1916.5349048919554
1000,0,wirehair_rand,7,random_tie,400,999.835,999.835,22.8425,19.152693749999997,4.376379068362337,22,31,36,22.8425,19.152693749999997,4.376379068362337,22,31,36,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4089.355,540.9325,4630.2875,8832.76,482.825,112.175,624.575,1601.0887403434335
1000,0,wirehair_rand,10,raptorq_d2cc,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4178.98,494.835,4673.815,8876.287499999999,507.6,314.15,859.525,1163.4332916436404
1000,0,wirehair_rand,18,rqd2_default,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4100.5775,494.835,4595.4125,8797.885,475.5,331.825,860.425,1162.2163465729145
1000,0,wirehair_rand,19,rqd2_minfill,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4175.695,494.835,4670.53,8873.002499999999,510.575,1049.475,1572.525,635.919937679846
1000,0,wirehair_rand,29,top16_lowref,400,999.835,999.835,23.9375,19.68859375,4.437183087275079,23,32,37,23.9375,19.68859375,4.437183087275079,23,32,37,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4131.5599999999995,592.6925,4724.2525,8926.724999999999,583.125,247.625,877.825,1139.179221371002
1000,0,wirehair_rand,40,rqcc_lowref,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4178.98,494.835,4673.815,8876.287499999999,523.775,345.025,912.725,1095.6202580185707
1000,0,wirehair_rand,42,rqcc_dup,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4101.27,494.835,4596.105,8798.5775,534.05,1237.525,1808.2,553.0361685654242
1000,0,wirehair_rand,43,rqcc_ratio,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4158.8775,494.835,4653.7125,8856.185,529.4,1143.575,1690.15,591.6634618229151
1000,0,wirehair_rand,75,ks_boundary_min,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4162.535,494.835,4657.37,8859.842499999999,546.9,1162.35,1729.6,578.1683626271971
1000,0,wirehair_rand,76,ks_boundary_max,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4088.2825,494.835,4583.1175,8785.59,638.75,1419.2,2119.05,471.90958212406497
1000,0,wirehair_rand,78,ks_lowref,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4178.9675,494.835,4673.8025,8876.275,618.475,1329.975,1974.725,506.39962526427735
1000,0,wirehair_rand,79,ks_random,400,999.835,999.835,21.83,18.286099999999998,4.276224970695531,21,30,35,21.83,18.286099999999998,4.276224970695531,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4138.775,494.835,4633.61,8836.0825,506.325,1093.25,1612.075,620.3185335669866
1000,0,wirehair_rand,94,hyb_lowref10,400,999.835,999.835,22.7975,19.22649375,4.38480258962704,22,31,36,22.7975,19.22649375,4.38480258962704,22,31,36,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4104.41,538.9525,4643.3625,8845.835,519.775,150.725,705.825,1416.7817801863066
1000,0,wirehair_rand,99,hyb_rqbeam,400,999.835,999.835,21.84,18.4094,4.290617671151789,21,30,35,21.84,18.4094,4.290617671151789,21,30,35,5.203275000000001,4.2032750000000005,5202.3075,4202.4725,4172.4925,495.395,4667.8875,8870.36,492.9,7921.95,8468.375,118.08640973032016
1000,0,rs_c001_d50_c128,0,default,400,999.835,999.835,22.4525,14.832743749999999,3.851330127371581,22,29,34,22.4525,14.832743749999999,3.851330127371581,22,29,34,5.684875,4.684875,5684.0075,4684.1725,4536.4375,518.9475,5055.385,9739.557499999999,3172.925,133.975,3340.35,299.36982651518554
1000,0,rs_c001_d50_c128,7,random_tie,400,999.835,999.835,22.3625,15.05609375,3.8802182606136992,22,29,33,22.3625,15.05609375,3.8802182606136992,22,29,33,5.684875,4.684875,5684.0075,4684.1725,4537.1625,515.1375,5052.3,9736.4725,2915.425,137.0,3089.65,323.661256129335
1000,0,rs_c001_d50_c128,10,raptorq_d2cc,400,999.835,999.835,21.155,13.950975000000001,3.735100400257,21,28,32,21.155,13.950975000000001,3.735100400257,21,28,32,5.684875,4.684875,5684.0075,4684.1725,4650.9525,461.485,5112.4375,9796.61,3115.05,516.05,3671.525,272.3663872641477
1000,0,rs_c001_d50_c128,18,rqd2_default,400,999.835,999.835,21.155,13.950975000000001,3.735100400257,21,28,32,21.155,13.950975000000001,3.735100400257,21,28,32,5.684875,4.684875,5684.0075,4684.1725,4550.6125,461.485,5012.0975,9696.27,4248.1,682.75,4966.375,201.35410636530668
1000,0,rs_c001_d50_c128,19,rqd2_minfill,400,999.835,999.835,21.155,13.950975000000001,3.735100400257,21,28,32,21.155,13.950975000000001,3.735100400257,21,28,32,5.684875,4.684875,5684.0075,4684.1725,4644.1475,461.485,5105.6325,9789.805,3188.475,1634.9,4834.95,206.82737153434886
1000,0,rs_c001_d50_c128,29,top16_lowref,400,999.835,999.835,23.825,16.679375,4.084039054661451,24,31,35,23.825,16.679375,4.084039054661451,24,31,35,5.684875,4.684875,5684.0075,4684.1725,4586.78,584.31,5171.09,9855.2625,3332.25,430.125,3822.275,261.62429443198096
