# peelcost: trials=6 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
320,1280,0,ks_bmax_top16,policy,dense,34,0,34,6,6,16.6667,20,28.3333,1482.8333,1162.8333,6958.1667,56.6667,885.0000,18133.3333,1608.8333,340.0000,22130.0000
320,1280,0,ks_bmax_top16,policy,ldpcdense,41,25,16,6,6,16.6667,20,28.3333,1482.8333,1162.8333,6958.1667,63.6667,1825.0000,20373.3333,2030.0000,382.0000,25773.1667
320,1280,0,ks_bmax_top16,lt_m2_c96,dense,34,0,34,6,6,15.0000,17,36.8333,1756.0000,1436.0000,6804.8333,55.0000,885.0000,17600.0000,1514.8333,330.0000,21765.8333
320,1280,0,ks_bmax_top16,lt_m2_c96,ldpcdense,41,25,16,6,6,15.0000,17,36.8333,1756.0000,1436.0000,6804.8333,62.0000,1825.0000,19840.0000,1924.3333,372.0000,25397.3333
320,1280,0,ks_bmax_top16,lt_m2_c256,dense,34,0,34,6,6,20.0000,29,46.1667,1981.3333,1661.3333,9042.8333,60.0000,885.0000,19200.0000,1809.8333,360.0000,23916.1667
320,1280,0,ks_bmax_top16,lt_m2_c256,ldpcdense,41,25,16,6,6,20.0000,29,46.1667,1981.3333,1661.3333,9042.8333,67.0000,1825.0000,21440.0000,2254.3333,402.0000,27582.6667
320,1280,0,ks_bmax_top16,lt_m2_c512,dense,34,0,34,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,61.0000,885.0000,19520.0000,1862.6667,366.0000,24576.1667
320,1280,0,ks_bmax_top16,lt_m2_c512,ldpcdense,41,25,16,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,68.0000,1825.0000,21760.0000,2314.1667,408.0000,28249.6667
320,1280,0,ks_bmax_top16,lt_m2_c1024,dense,34,0,34,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,61.0000,885.0000,19520.0000,1862.6667,366.0000,24576.1667
320,1280,0,ks_bmax_top16,lt_m2_c1024,ldpcdense,41,25,16,6,6,21.0000,24,50.5000,2262.5000,1942.5000,9742.5000,68.0000,1825.0000,21760.0000,2314.1667,408.0000,28249.6667
320,1280,2,ks_bmax_top16,policy,dense,34,0,34,6,6,14.3333,17,20.6667,1376.5000,1054.5000,5949.6667,54.3333,885.0000,17386.6667,1478.5000,326.0000,21130.6667
320,1280,2,ks_bmax_top16,policy,ldpcdense,41,25,16,6,6,14.3333,17,20.6667,1376.5000,1054.5000,5949.6667,61.3333,1825.0000,19626.6667,1883.3333,368.0000,24757.5000
320,1280,2,ks_bmax_top16,lt_m2_c96,dense,34,0,34,6,6,15.1667,22,30.1667,1566.8333,1244.8333,6610.5000,55.1667,885.0000,17653.3333,1531.0833,331.0000,21645.2500
320,1280,2,ks_bmax_top16,lt_m2_c96,ldpcdense,41,25,16,6,6,15.1667,22,30.1667,1566.8333,1244.8333,6610.5000,62.1667,1825.0000,19893.3333,1941.7500,373.0000,25277.9167
320,1280,2,ks_bmax_top16,lt_m2_c256,dense,34,0,34,6,6,16.3333,27,35.6667,1841.3333,1519.3333,7400.0000,56.3333,885.0000,18026.6667,1604.3333,338.0000,22373.3333
320,1280,2,ks_bmax_top16,lt_m2_c256,ldpcdense,41,25,16,6,6,16.3333,27,35.6667,1841.3333,1519.3333,7400.0000,63.3333,1825.0000,20266.6667,2023.1667,380.0000,26014.1667
320,1280,2,ks_bmax_top16,lt_m2_c512,dense,34,0,34,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,56.1667,885.0000,17973.3333,1583.0833,337.0000,22257.7500
320,1280,2,ks_bmax_top16,lt_m2_c512,ldpcdense,41,25,16,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,63.1667,1825.0000,20213.3333,2000.7500,379.0000,25897.4167
320,1280,2,ks_bmax_top16,lt_m2_c1024,dense,34,0,34,6,6,16.1667,21,35.5000,1801.3333,1479.3333,7261.1667,56.1667,885.0000,17973.3333,1583.0833,337.0000,22257.7500
