# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
320,1280,0,ks_bmax_top16,policy,dense,34,0,34,6,8,13.0000,18,13.0000,1486.8750,1166.8750,5501.8750,53.0000,885.0000,16960.0000,1407.5000,318.0000,20737.3750
320,1280,0,ks_bmax_top16,policy,ldpcdense,41,25,16,6,8,13.0000,18,13.0000,1486.8750,1166.8750,5501.8750,60.0000,1825.0000,19200.0000,1803.0000,360.0000,24354.8750
320,1280,0,ks_bmax_top16,lt_m1_c16,dense,34,0,34,6,8,16.5000,19,16.5000,1125.0000,805.0000,6363.5000,56.5000,885.0000,18080.0000,1599.2500,339.0000,21708.2500
320,1280,0,ks_bmax_top16,lt_m1_c16,ldpcdense,41,25,16,6,8,16.5000,19,16.5000,1125.0000,805.0000,6363.5000,63.5000,1825.0000,20320.0000,2019.2500,381.0000,25350.2500
320,1280,0,ks_bmax_top16,lt_m1_c32,dense,34,0,34,6,8,13.2500,16,13.2500,1344.6250,1024.6250,5443.3750,53.2500,885.0000,17040.0000,1419.3750,319.5000,20688.5000
320,1280,0,ks_bmax_top16,lt_m1_c32,ldpcdense,41,25,16,6,8,13.2500,16,13.2500,1344.6250,1024.6250,5443.3750,60.2500,1825.0000,19280.0000,1816.6250,361.5000,24307.7500
320,1280,0,ks_bmax_top16,lt_m1_c64,dense,34,0,34,6,8,12.3750,17,12.3750,1600.2500,1280.2500,5398.8750,52.3750,885.0000,16760.0000,1374.3125,314.2500,20613.8125
320,1280,0,ks_bmax_top16,lt_m1_c64,ldpcdense,41,25,16,6,8,12.3750,17,12.3750,1600.2500,1280.2500,5398.8750,59.3750,1825.0000,19000.0000,1765.4375,356.2500,24226.9375
320,1280,0,ks_bmax_top16,lt_m2_c96,dense,34,0,34,6,8,11.5000,14,11.5000,1701.1250,1381.1250,5195.3750,51.5000,885.0000,16480.0000,1327.1250,309.0000,20382.2500
320,1280,0,ks_bmax_top16,lt_m2_c96,ldpcdense,41,25,16,6,8,11.5000,14,11.5000,1701.1250,1381.1250,5195.3750,58.5000,1825.0000,18720.0000,1712.1250,351.0000,23989.2500
