K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,500,0.022000,1.000000,6.0220,7,6:0.978000|7:0.022000,174.34,12.80,224,168.32,9917.66,168.34,9.4964,25215.0,132262.6,580985.9,15278.8,81299.7,1082.0,6.0,0.000000
10000,dense,86,6,1,500,0.006000,1.000000,5.0760,12,5:0.950000|6:0.044000|8:0.002000|11:0.002000|12:0.002000,175.06,12.88,224,169.98,9916.94,170.06,9.5285,25215.0,132725.9,580299.0,15405.0,82803.9,1086.3,6.0,0.000000
10000,dense,86,6,2,500,0.002000,1.000000,4.0520,10,4:0.958000|5:0.040000|10:0.002000,174.14,13.21,238,170.09,9917.86,170.14,9.4927,25215.0,132945.6,578238.0,15249.3,82060.4,1080.8,6.0,0.000000
10000,codecport,86,12,0,500,0.000000,1.000000,12.0000,12,12:1.000000,187.38,13.40,244,175.38,9922.62,175.38,9.4964,35156.0,100011.6,669926.4,17644.8,97785.5,2392.5,12.0,0.000000
10000,codecport,86,12,1,500,0.000000,1.000000,11.0020,12,11:0.998000|12:0.002000,186.73,13.27,246,175.73,9923.27,175.73,9.5285,35156.0,100326.3,667323.2,17521.9,97277.4,2384.8,12.0,0.000000
10000,codecport,86,12,2,500,0.000000,1.000000,10.0020,11,10:0.998000|11:0.002000,187.10,13.41,247,177.10,9922.90,177.10,9.4927,35156.0,100079.6,667203.4,17593.2,98449.6,2389.2,12.0,0.000000
10000,codecport_n13,86,12,0,500,0.000000,1.000000,12.0000,12,12:1.000000,187.07,12.57,244,175.07,9922.93,175.07,9.4964,35156.0,100173.0,670061.5,17576.4,97111.0,2388.8,12.0,0.000000
10000,codecport_n13,86,12,1,500,0.000000,1.000000,11.0020,12,11:0.998000|12:0.002000,186.58,14.11,243,175.57,9923.42,175.58,9.5285,35156.0,100267.2,666260.9,17504.6,97237.5,2382.9,12.0,0.000000
10000,codecport_n13,86,12,2,500,0.000000,1.000000,10.0000,10,10:1.000000,186.31,13.37,240,176.31,9923.69,176.31,9.4927,35156.0,100175.1,666017.5,17444.1,97174.5,2379.7,12.0,0.000000
32000,dense,190,6,0,500,0.016000,1.000000,6.0180,8,6:0.984000|7:0.014000|8:0.002000,371.11,26.22,488,365.10,31824.89,365.11,9.5129,80475.0,490780.7,3993304.2,69206.4,797894.7,2262.7,6.0,0.000000
32000,dense,190,6,1,500,0.000000,1.000000,5.0380,6,5:0.962000|6:0.038000,369.53,23.84,465,364.50,31826.47,364.53,9.5054,80475.0,491440.9,3989259.8,68561.5,787756.9,2253.2,6.0,0.000000
32000,dense,190,6,2,500,0.000000,1.000000,4.0560,5,4:0.944000|5:0.056000,370.17,24.67,457,366.12,31825.83,366.17,9.5176,80475.0,491579.5,3988098.1,68817.7,794689.0,2257.0,6.0,0.000000
32000,codecport,190,12,0,500,0.000000,1.000000,12.0000,12,12:1.000000,364.96,24.16,452,352.96,31849.04,352.96,9.5129,112312.0,332453.5,4277070.8,66891.1,744614.0,4523.6,12.0,0.000000
32000,codecport,190,12,1,500,0.000000,1.000000,11.0000,11,11:1.000000,363.26,22.66,446,352.26,31850.74,352.26,9.5054,112312.0,332322.5,4277199.7,66236.1,735101.0,4503.1,12.0,0.000000
32000,codecport,190,12,2,500,0.000000,1.000000,10.0000,10,10:1.000000,364.29,22.67,452,354.29,31849.71,354.29,9.5176,112312.0,332378.7,4269940.1,66611.8,743423.6,4515.5,12.0,0.000000
32000,codecport_n13,190,12,0,500,0.000000,1.000000,12.0000,12,12:1.000000,365.46,24.52,454,353.46,31848.54,353.46,9.5129,112312.0,332294.5,4281065.0,67081.5,747984.4,4529.5,12.0,0.000000
32000,codecport_n13,190,12,1,500,0.000000,1.000000,11.0000,11,11:1.000000,363.46,22.35,442,352.46,31850.54,352.46,9.5054,112312.0,332464.4,4274484.9,66300.4,736066.4,4505.5,12.0,0.000000
32000,codecport_n13,190,12,2,500,0.000000,1.000000,10.0000,10,10:1.000000,365.03,23.22,457,355.03,31848.97,355.03,9.5176,112312.0,332394.8,4276076.5,66893.4,748422.4,4524.4,12.0,0.000000
