K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,500,0.022000,1.000000,6.0600,22,6:0.978000|7:0.018000|11:0.002000|22:0.002000,193.62,13.54,244,187.56,9898.38,187.62,7.7283,25215.0,133256.1,582869.7,18835.0,111562.3,1197.7,6.0,0.000000
10000,dense,86,6,1,500,0.006000,1.000000,5.0860,20,5:0.968000|6:0.026000|12:0.002000|13:0.002000|20:0.002000,192.44,12.70,234,187.36,9899.56,187.44,7.7172,25215.0,133749.1,580571.9,18597.4,109924.7,1190.7,6.0,0.000000
10000,dense,86,6,2,500,0.000000,1.000000,4.0620,5,4:0.938000|5:0.062000,191.55,12.79,233,187.48,9900.45,187.55,7.7271,25215.0,133516.2,581936.4,18426.4,108982.1,1185.3,6.0,0.000000
10000,codecport,86,12,0,500,0.004000,1.000000,12.0180,20,12:0.996000|13:0.002000|20:0.002000,180.88,15.39,245,168.87,9929.12,168.88,7.7283,35156.0,94660.6,671562.6,16477.6,88345.2,2314.6,12.0,0.000000
10000,codecport,86,12,1,500,0.002000,1.000000,11.0080,15,11:0.998000|15:0.002000,179.08,14.68,234,168.08,9930.92,168.08,7.7172,35156.0,95041.7,670511.2,16143.0,86035.0,2293.0,12.0,0.000000
10000,codecport,86,12,2,500,0.000000,1.000000,10.0000,10,10:1.000000,178.71,14.13,235,168.71,9931.29,168.71,7.7271,35156.0,94710.5,670008.3,16067.5,85858.0,2288.5,12.0,0.000000
10000,codecport_n13,86,12,0,500,0.002000,1.000000,12.0140,19,12:0.998000|19:0.002000,181.25,15.39,241,169.23,9928.75,169.25,7.7283,35156.0,94641.6,672295.9,16543.6,88877.8,2319.0,12.0,0.000000
10000,codecport_n13,86,12,1,500,0.002000,1.000000,11.0100,16,11:0.998000|16:0.002000,179.47,14.01,235,168.46,9930.53,168.47,7.7172,35156.0,94939.5,671202.9,16201.9,86436.2,2297.6,12.0,0.000000
10000,codecport_n13,86,12,2,500,0.000000,1.000000,10.0000,10,10:1.000000,178.75,14.05,234,168.75,9931.25,168.75,7.7271,35156.0,94757.2,671065.6,16073.8,85897.6,2289.0,12.0,0.000000
32000,dense,190,6,0,500,0.020000,1.000000,6.0240,9,6:0.980000|7:0.018000|9:0.002000,461.30,21.68,550,455.28,31734.70,455.30,7.7301,80475.0,460599.7,4014323.5,106634.5,1524069.6,2803.8,6.0,0.000000
32000,dense,190,6,1,500,0.002000,1.000000,5.0300,7,5:0.972000|6:0.026000|7:0.002000,460.42,22.48,551,455.39,31735.58,455.42,7.7251,80475.0,459742.6,4002091.0,106243.9,1519362.6,2798.5,6.0,0.000000
32000,dense,190,6,2,500,0.000000,1.000000,4.0580,5,4:0.942000|5:0.058000,460.24,22.66,540,456.18,31735.76,456.24,7.7286,80475.0,461590.9,4002477.3,106166.9,1521143.4,2797.4,6.0,0.000000
32000,codecport,190,12,0,500,0.002000,1.000000,12.0020,13,12:0.998000|13:0.002000,354.13,24.90,439,342.13,31859.87,342.13,7.7301,112312.0,318705.1,4311620.4,63015.1,680769.3,4393.6,12.0,0.000000
32000,codecport,190,12,1,500,0.000000,1.000000,11.0000,11,11:1.000000,352.66,25.01,472,341.66,31861.34,341.66,7.7251,112312.0,319115.4,4297229.2,62498.5,674399.8,4376.0,12.0,0.000000
32000,codecport,190,12,2,500,0.000000,1.000000,10.0020,11,10:0.998000|11:0.002000,353.07,25.69,454,343.07,31860.93,343.07,7.7286,112312.0,318767.7,4300754.1,62659.0,679241.5,4380.8,12.0,0.000000
32000,codecport_n13,190,12,0,500,0.000000,1.000000,12.0000,12,12:1.000000,354.26,24.76,455,342.26,31859.74,342.26,7.7301,112312.0,318492.2,4310594.8,63057.8,681378.6,4395.2,12.0,0.000000
32000,codecport_n13,190,12,1,500,0.000000,1.000000,11.0020,12,11:0.998000|12:0.002000,352.44,23.95,463,341.44,31861.56,341.44,7.7251,112312.0,318944.0,4295467.3,62393.6,672212.2,4373.3,12.0,0.000000
32000,codecport_n13,190,12,2,500,0.000000,1.000000,10.0020,11,10:0.998000|11:0.002000,353.37,25.66,444,343.37,31860.63,343.37,7.7286,112312.0,319302.3,4304145.0,62764.8,680899.8,4384.5,12.0,0.000000
