K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99
10000,dense,86,6,0,20000,0.018850,1.000000,6.0381,70,6:0.981150|7:0.017000|8:0.000300|9:0.000150|10:0.000200|11:0.000150|12:0.000100|13:0.000050|14:0.000050|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,193.41,12.91,273,187.37,9898.59,187.41,7.7278,25215.0,133600.8,582651.2,18787.2,111054.3,1196.5,6.0,25896.4,8602.0,82.31,0.001100,11,13
10000,dense,86,6,1,20000,0.001600,1.000000,5.0488,50,5:0.964450|6:0.033950|7:0.000400|8:0.000150|9:0.000200|10:0.000050|12:0.000150|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,192.92,12.80,266,187.87,9899.08,187.92,7.7285,25215.0,133617.0,582376.0,18690.3,110761.9,1193.5,6.0,25878.3,8646.1,82.81,0.000700,10,12
10000,dense,86,6,2,20000,0.002000,1.000000,4.0815,34,4:0.936450|5:0.060650|6:0.000900|7:0.000200|8:0.000250|9:0.000150|10:0.000150|11:0.000150|12:0.000100|13:0.000350|14:0.000100|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,192.32,12.88,250,188.24,9899.68,188.32,7.7267,25215.0,133627.1,581545.3,18576.0,110332.7,1189.9,6.0,25804.2,8684.7,82.84,0.000450,9,11
10000,dense_h12,86,12,0,20000,0.001600,1.000000,12.0129,70,12:0.998400|13:0.000650|14:0.000100|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,200.32,12.87,277,188.31,9897.68,188.32,7.7278,25215.0,133623.6,611844.3,20147.0,119621.0,2547.9,12.0,27919.9,8684.6,87.92,0.016650,17,19
10000,dense_h12,86,12,1,20000,0.000700,1.000000,11.0083,50,11:0.998800|12:0.000500|13:0.000050|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,199.81,12.76,273,188.81,9898.19,188.81,7.7285,25215.0,133617.9,611517.6,20044.0,119301.6,2541.8,12.0,27931.9,8729.9,87.80,0.007400,16,18
10000,dense_h12,86,12,2,20000,0.001050,1.000000,10.0093,34,10:0.997850|11:0.001000|12:0.000100|13:0.000300|14:0.000200|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,199.26,12.81,255,189.25,9898.74,189.26,7.7267,25215.0,133572.0,610884.2,19933.1,118927.5,2535.1,12.0,27869.3,8770.8,88.25,0.004650,15,17
10000,ldpc,86,6,0,20000,0.017400,1.000000,6.0366,70,6:0.982600|7:0.015650|8:0.000200|9:0.000150|10:0.000200|11:0.000150|12:0.000100|13:0.000050|14:0.000050|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,159.46,14.73,234,153.42,9932.54,153.46,7.7278,30085.0,94559.0,582974.0,12821.7,62598.2,992.8,6.0,15287.2,5753.7,85.05,0.000850,11,13
10000,ldpc,86,6,1,20000,0.001750,1.000000,5.0458,50,5:0.967600|6:0.030650|7:0.000550|8:0.000150|9:0.000200|10:0.000050|12:0.000150|14:0.000050|15:0.000050|16:0.000100|17:0.000050|21:0.000050|22:0.000100|24:0.000050|25:0.000050|27:0.000100|50:0.000050,159.15,14.56,242,154.10,9932.85,154.15,7.7285,30085.0,94541.1,582717.4,12769.8,62596.4,990.9,6.0,15390.2,5804.2,85.64,0.000600,10,12
10000,ldpc,86,6,2,20000,0.002000,1.000000,4.0831,34,4:0.934950|5:0.062050|6:0.001000|7:0.000200|8:0.000250|9:0.000150|10:0.000150|11:0.000150|12:0.000100|13:0.000350|14:0.000100|15:0.000150|17:0.000050|18:0.000050|20:0.000050|24:0.000050|26:0.000050|27:0.000050|28:0.000050|34:0.000050,158.50,14.53,242,154.42,9933.50,154.50,7.7267,30085.0,94537.4,581909.5,12666.9,62233.4,987.0,6.0,15423.3,5830.2,85.69,0.000550,9,11
10000,ldpc_h12,86,12,0,20000,0.001700,1.000000,12.0130,70,12:0.998300|13:0.000750|14:0.000100|15:0.000050|16:0.000050|17:0.000100|18:0.000200|21:0.000050|22:0.000050|23:0.000050|25:0.000050|26:0.000050|37:0.000050|39:0.000050|45:0.000050|70:0.000050,166.35,14.64,242,154.34,9931.65,154.35,7.7278,30085.0,94560.6,612260.0,13943.7,68401.8,2140.2,12.0,15670.1,5820.2,90.42,0.017750,17,19
