K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99,runaway_rate
32000,dense,190,6,0,3000,0.022000,1.000000,6.0333,29,6:0.978000|7:0.020667|8:0.000667|17:0.000333|29:0.000333,460.84,22.50,556,454.80,31735.16,454.84,7.7294,80475.0,459712.0,3999825.2,106438.4,1520257.6,2801.0,6.0,297809.3,50984.0,252.77,0.000667,11,14,0.000000
32000,dense,190,6,1,3000,0.002667,1.000000,5.0623,40,5:0.961333|6:0.036000|8:0.001000|9:0.000667|17:0.000333|20:0.000333|40:0.000333,461.05,22.63,554,455.99,31734.95,456.05,7.7278,80475.0,460276.8,4000707.6,106538.8,1525809.0,2802.3,6.0,299142.8,51264.7,252.96,0.001667,10,12,0.000000
32000,dense,190,6,2,3000,0.001333,1.000000,4.0753,19,4:0.935000|5:0.063000|6:0.000667|7:0.000667|16:0.000333|19:0.000333,460.07,22.40,560,455.99,31735.93,456.07,7.7282,80475.0,459643.6,3999801.4,106081.1,1519168.1,2796.4,6.0,297600.2,51266.8,252.94,0.000333,9,11,0.000000
32000,dense_h12,190,12,0,3000,0.001000,1.000000,12.0077,29,12:0.999000|13:0.000333|17:0.000333|29:0.000333,468.54,22.60,565,456.54,31733.46,456.54,7.7294,80475.0,459485.4,4099954.2,110022.0,1577248.9,5766.5,12.0,306204.4,51351.6,261.73,0.017667,17,19,0.000000
32000,dense_h12,190,12,1,3000,0.001000,1.000000,11.0153,40,11:0.998333|12:0.000667|17:0.000333|20:0.000333|40:0.000333,468.12,22.40,564,457.10,31733.88,457.12,7.7278,80475.0,459559.5,4096851.2,109817.0,1576149.1,5761.4,12.0,306723.6,51504.5,259.10,0.010333,16,19,0.000000
32000,dense_h12,190,12,2,3000,0.000667,1.000000,10.0077,19,10:0.996667|11:0.002667|16:0.000333|19:0.000333,467.64,22.61,577,457.63,31734.36,457.64,7.7282,80475.0,460703.0,4100570.9,109599.9,1574969.5,5755.7,12.0,306193.4,51612.9,261.52,0.007000,15,17,0.000000
32000,ldpc,190,6,0,3000,0.017000,1.000000,6.0310,30,6:0.983000|7:0.015667|8:0.000333|12:0.000333|20:0.000333|30:0.000333,331.18,24.74,444,325.15,31864.82,325.18,7.7294,96189.0,318158.7,3999534.8,55145.0,566867.9,2023.1,6.0,115432.5,25879.0,252.00,0.001000,11,13,0.000000
32000,ldpc,190,6,1,3000,0.003333,1.000000,5.0617,40,5:0.965667|6:0.031000|8:0.000333|9:0.001000|10:0.001000|17:0.000333|20:0.000333|40:0.000333,331.17,24.51,427,326.11,31864.83,326.17,7.7278,96189.0,318144.1,3999854.0,55136.3,568359.9,2023.0,6.0,116333.9,26031.0,251.81,0.001000,10,11,0.000000
32000,ldpc,190,6,2,3000,0.001667,1.000000,4.0790,19,4:0.933000|5:0.064000|6:0.001333|7:0.000667|8:0.000333|16:0.000333|19:0.000333,331.21,24.60,436,327.13,31864.79,327.21,7.7282,96189.0,318000.2,4003754.5,55151.5,570348.1,2023.2,6.0,116908.3,26202.4,251.82,0.000667,9,11,0.000000
32000,ldpc_h12,190,12,0,3000,0.001333,1.000000,12.0083,29,12:0.998667|13:0.000667|18:0.000333|29:0.000333,338.37,24.56,444,326.36,31863.63,326.37,7.7294,96189.0,318081.6,4096631.4,57548.1,593455.4,4204.4,12.0,119581.0,26052.5,261.28,0.017333,17,19,0.000000
32000,ldpc_h12,190,12,1,3000,0.001000,1.000000,11.0153,40,11:0.998333|12:0.000667|17:0.000333|20:0.000333|40:0.000333,338.27,24.48,434,327.26,31863.73,327.27,7.7278,96189.0,318183.6,4098635.6,57513.2,594688.0,4203.3,12.0,120360.1,26202.0,257.55,0.005333,16,18,0.000000
32000,ldpc_h12,190,12,2,3000,0.000667,1.000000,10.0077,19,10:0.997333|11:0.002000|18:0.000333|19:0.000333,337.97,24.62,455,327.96,31864.03,327.97,7.7282,96189.0,318025.1,4097963.7,57415.4,594997.6,4199.7,12.0,120170.6,26323.7,260.99,0.003333,15,17,0.000000
32000,ldpcdense_s152_d38,152,6,0,3000,0.014333,1.000000,6.0260,29,6:0.985667|7:0.013000|8:0.000333|9:0.000333|17:0.000333|29:0.000333,342.85,22.78,449,336.83,31853.15,336.85,7.7294,176626.0,346049.9,4010495.7,59033.4,627093.8,2093.1,6.0,128223.6,27752.8,253.99,0.000333,11,13,0.000000
32000,ldpcdense_s152_d38,152,6,1,3000,0.003000,1.000000,5.0600,40,5:0.964333|6:0.032667|7:0.000333|8:0.001000|9:0.000333|10:0.000333|17:0.000333|20:0.000333|40:0.000333,342.88,22.49,431,337.82,31853.12,337.88,7.7278,176626.0,346280.2,4011947.5,59037.4,628881.4,2093.3,6.0,128860.9,27916.6,251.77,0.000667,10,12,0.000000
32000,ldpcdense_s152_d38,152,6,2,3000,0.001333,1.000000,4.0710,19,4:0.940333|5:0.057000|6:0.001333|7:0.000333|8:0.000333|16:0.000333|19:0.000333,342.34,22.82,450,338.27,31853.66,338.34,7.7282,176626.0,345700.9,4010561.1,58859.6,628017.6,2090.1,6.0,129006.4,28002.7,253.78,0.000333,9,11,0.000000
32000,ldpcdense_s152_d38_h8,152,8,0,3000,0.004333,1.000000,8.0137,29,8:0.995667|9:0.003667|17:0.000333|29:0.000333,345.55,22.82,473,337.53,31852.45,337.55,7.7294,176626.0,346152.7,4044554.0,59962.0,638248.0,2828.4,8.0,129647.6,27859.3,259.02,0.001333,13,15,0.000000
