K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
6400,dense,74,6,0,20000,0.015800,1.000000,6.0258,43,6:0.984200|7:0.014600|8:0.000200|10:0.000150|11:0.000100|12:0.000200|13:0.000100|14:0.000100|15:0.000050|21:0.000100|23:0.000050|27:0.000050|31:0.000050|43:0.000050,152.77,10.37,212,146.74,6327.23,146.77,7.7263,16185.0,82816.6,313381.0,11722.5,54288.5,952.6,6.0,0.000000
6400,dense,74,6,1,20000,0.000350,1.000000,5.0339,24,5:0.968600|6:0.031050|7:0.000050|8:0.000100|13:0.000050|14:0.000050|17:0.000050|24:0.000050,152.19,10.24,201,147.16,6327.81,147.19,7.7276,16185.0,82850.0,313084.9,11632.9,54014.9,949.1,6.0,0.000000
6400,dense,74,6,2,20000,0.000450,1.000000,4.0662,21,4:0.937500|5:0.061400|6:0.000650|7:0.000050|10:0.000050|11:0.000250|13:0.000050|21:0.000050,151.79,10.25,204,147.73,6328.21,147.79,7.7280,16185.0,82837.0,312950.1,11573.0,53957.6,946.8,6.0,0.000000
6400,dense,74,6,5,20000,0.000300,1.000000,1.4641,19,1:0.576250|2:0.387050|3:0.035400|4:0.000900|5:0.000100|8:0.000050|9:0.000050|10:0.000050|11:0.000050|12:0.000050|19:0.000050,150.49,10.13,204,149.02,6329.51,149.49,7.7285,16185.0,82775.2,312169.5,11374.6,53628.5,938.9,6.0,0.000000
6400,ldpc,74,6,0,20000,0.018350,1.000000,6.0282,43,6:0.981650|7:0.017150|8:0.000200|10:0.000150|11:0.000100|12:0.000250|13:0.000050|14:0.000100|15:0.000050|21:0.000100|23:0.000050|27:0.000050|31:0.000050|43:0.000050,133.85,11.75,197,127.82,6346.15,127.85,7.7263,19273.0,58695.7,313377.2,9026.1,36651.7,839.1,6.0,0.000000
6400,ldpc,74,6,1,20000,0.000350,1.000000,5.0349,24,5:0.967550|6:0.032100|7:0.000050|8:0.000100|13:0.000050|14:0.000050|17:0.000050|24:0.000050,133.47,11.69,203,128.44,6346.53,128.47,7.7276,19273.0,58673.6,313203.5,8975.6,36620.0,836.8,6.0,0.000000
6400,ldpc,74,6,2,20000,0.000450,1.000000,4.0658,21,4:0.938050|5:0.060700|6:0.000800|7:0.000050|10:0.000050|11:0.000250|13:0.000050|21:0.000050,133.08,11.64,190,129.01,6346.92,129.08,7.7280,19273.0,58666.0,313055.7,8922.3,36566.7,834.5,6.0,0.000000
6400,ldpc,74,6,5,20000,0.000300,1.000000,1.4692,19,1:0.573600|2:0.387200|3:0.037850|4:0.001000|5:0.000050|8:0.000050|9:0.000050|10:0.000050|11:0.000050|12:0.000050|19:0.000050,131.97,11.44,189,130.50,6348.03,130.97,7.7285,19273.0,58640.6,312363.2,8773.2,36460.5,827.8,6.0,0.000000
6400,ldpcdense_s44_d12,44,6,0,20000,0.026100,1.000000,6.1021,61,6:0.973900|7:0.018100|8:0.000650|9:0.000700|10:0.000900|11:0.000600|12:0.000300|13:0.000850|14:0.000500|15:0.000200|16:0.000250|17:0.000450|18:0.000300|19:0.000250|20:0.000150|21:0.000250|22:0.000150|24:0.000250|25:0.000200|26:0.000050|28:0.000150|29:0.000150|30:0.000200|31:0.000050|32:0.000100|33:0.000050|39:0.000100|41:0.000050|45:0.000050|49:0.000050|61:0.000050,115.13,11.24,177,109.02,6346.87,109.13,7.7263,35383.0,64351.9,258782.5,6689.9,23283.4,726.8,6.0,0.000000
6400,ldpcdense_s44_d12,44,6,1,20000,0.007300,1.000000,5.0899,42,5:0.959600|6:0.033100|7:0.001750|8:0.000500|9:0.000450|10:0.000450|11:0.000500|12:0.000550|13:0.000500|14:0.000400|15:0.000250|16:0.000400|17:0.000350|18:0.000100|19:0.000150|20:0.000200|21:0.000200|22:0.000100|23:0.000100|24:0.000050|26:0.000100|31:0.000050|32:0.000050|35:0.000050|42:0.000050,114.65,11.13,178,109.56,6347.35,109.65,7.7276,35383.0,64338.6,258453.1,6633.6,23188.0,723.9,6.0,0.000000
