K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,runaway_rate
10000,dense,86,6,0,20000,0.016600,1.000000,6.0239,39,6:0.983400|7:0.015800|8:0.000250|10:0.000050|13:0.000050|15:0.000050|16:0.000050|18:0.000100|19:0.000050|21:0.000050|23:0.000050|25:0.000050|39:0.000050,193.52,12.78,263,187.49,9898.48,187.52,7.7282,25215.0,133587.9,582869.5,18805.5,111201.4,1197.1,6.0,0.000000
10000,dense,86,6,1,20000,0.001700,1.000000,5.0424,29,5:0.969400|6:0.028900|7:0.000300|8:0.000250|9:0.000200|10:0.000050|11:0.000100|12:0.000050|13:0.000050|14:0.000100|15:0.000050|16:0.000100|17:0.000050|18:0.000050|20:0.000100|21:0.000100|22:0.000050|23:0.000050|29:0.000050,192.87,12.75,254,187.83,9899.13,187.87,7.7277,25215.0,133573.3,582240.9,18680.0,110662.9,1193.2,6.0,0.000000
10000,dense,86,6,2,20000,0.001750,1.000000,4.0819,29,4:0.936000|5:0.060400|6:0.001850|7:0.000200|8:0.000050|9:0.000250|10:0.000200|11:0.000100|12:0.000050|13:0.000050|14:0.000050|15:0.000100|17:0.000200|18:0.000150|20:0.000050|21:0.000050|22:0.000100|23:0.000050|26:0.000050|29:0.000050,192.45,12.66,257,188.37,9899.55,188.45,7.7275,25215.0,133586.4,581678.8,18598.5,110509.7,1190.7,6.0,0.000000
10000,ldpc,86,6,0,20000,0.016100,1.000000,6.0235,39,6:0.983900|7:0.015200|8:0.000350|10:0.000050|13:0.000050|15:0.000050|16:0.000050|18:0.000100|19:0.000050|21:0.000050|23:0.000050|25:0.000050|39:0.000050,159.49,14.71,243,153.46,9932.51,153.49,7.7282,30085.0,94560.9,582951.1,12825.9,62626.5,992.9,6.0,0.000000
10000,ldpc,86,6,1,20000,0.001650,1.000000,5.0454,29,5:0.966350|6:0.032000|7:0.000250|8:0.000250|9:0.000200|10:0.000050|11:0.000100|12:0.000050|13:0.000050|14:0.000100|15:0.000050|16:0.000100|17:0.000050|18:0.000050|20:0.000100|21:0.000100|22:0.000050|23:0.000050|29:0.000050,159.05,14.52,229,154.00,9932.95,154.05,7.7277,30085.0,94552.4,582714.5,12753.6,62473.5,990.3,6.0,0.000000
10000,ldpc,86,6,2,20000,0.001750,1.000000,4.0813,29,4:0.935900|5:0.061200|6:0.001150|7:0.000200|8:0.000050|9:0.000250|10:0.000200|11:0.000100|12:0.000050|13:0.000050|14:0.000050|15:0.000100|17:0.000200|18:0.000150|20:0.000050|21:0.000050|22:0.000100|23:0.000050|26:0.000050|29:0.000050,158.70,14.39,235,154.62,9933.30,154.70,7.7275,30085.0,94538.9,582033.0,12695.6,62428.5,988.2,6.0,0.000000
10000,ldpcdense_s86_d12,86,6,0,20000,0.015150,1.000000,6.0168,27,6:0.984850|7:0.014900|8:0.000050|9:0.000050|11:0.000050|13:0.000050|27:0.000050,173.51,14.49,259,167.50,9930.49,167.51,7.7282,55330.0,96396.4,641912.1,15158.2,80516.3,1077.1,6.0,0.000000
10000,ldpcdense_s86_d12,86,6,1,20000,0.000550,1.000000,5.0321,17,5:0.969550|6:0.029900|7:0.000200|8:0.000100|9:0.000100|10:0.000050|11:0.000050|17:0.000050,173.02,14.48,248,167.98,9930.98,168.02,7.7277,55330.0,96291.5,641454.5,15071.9,80297.8,1074.1,6.0,0.000000
10000,ldpcdense_s86_d12,86,6,2,20000,0.000400,1.000000,4.0641,17,4:0.939000|5:0.059800|6:0.000800|7:0.000050|8:0.000050|9:0.000050|10:0.000100|11:0.000050|14:0.000050|17:0.000050,172.72,14.32,245,168.66,9931.28,168.72,7.7275,55330.0,96314.3,641039.9,15018.4,80317.4,1072.3,6.0,0.000000
10000,ldpcdense_s86_d12_s2,86,6,0,20000,0.016800,1.000000,6.0210,31,6:0.983200|7:0.016350|8:0.000050|11:0.000050|12:0.000050|13:0.000050|17:0.000100|19:0.000050|20:0.000050|31:0.000050,173.88,14.54,255,167.86,9930.12,167.88,7.7282,35156.0,94774.4,642771.5,15222.5,81037.5,1079.3,6.0,0.000000
