K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
3200,dense,62,6,0,6000,0.017167,1.000000,6.0172,7,6:0.982833|7:0.017167,112.79,7.37,150,106.77,3155.21,106.79,7.7272,8155.0,38610.2,124765.7,6387.7,21512.2
3200,dense,62,6,2,6000,0.000167,1.000000,4.0642,18,4:0.938333|5:0.061167|6:0.000333|18:0.000167,112.01,7.47,156,107.94,3155.99,108.01,7.7302,8155.0,38578.5,124579.2,6300.4,21464.5
3200,ldpc,62,6,0,6000,0.015667,1.000000,6.0157,7,6:0.984333|7:0.015667,106.19,8.49,146,100.17,3161.81,100.19,7.7236,9661.0,28127.3,124679.7,5674.0,18008.4
3200,ldpc,62,6,2,6000,0.000167,1.000000,4.0680,13,4:0.934333|5:0.064500|6:0.001000|13:0.000167,105.47,8.50,146,101.40,3162.53,101.47,7.7328,9661.0,28103.2,124610.6,5597.5,17991.7
3200,dense_d31_h8,31,8,0,6000,0.026667,1.000000,8.1342,41,8:0.973333|9:0.008833|10:0.003667|11:0.002167|12:0.002333|13:0.001167|14:0.001333|15:0.001500|16:0.000167|17:0.000833|18:0.000333|19:0.000333|20:0.000667|21:0.001000|22:0.000500|23:0.000667|24:0.000500|27:0.000167|29:0.000167|31:0.000167|41:0.000167,82.12,7.40,119,73.98,3156.88,74.12,7.7281,8077.0,36953.8,82615.7,3398.8,8017.0
3200,dense_d31_h8,31,8,2,6000,0.012500,1.000000,6.1223,29,6:0.959000|7:0.025000|8:0.003500|9:0.002167|10:0.001667|11:0.001500|12:0.001167|13:0.001333|14:0.001333|15:0.000667|16:0.000500|17:0.000167|18:0.000500|19:0.000333|20:0.000333|21:0.000333|24:0.000333|29:0.000167,81.10,7.19,116,74.98,3157.90,75.10,7.7288,8077.0,36918.7,82242.9,3314.4,7913.7
3200,dense_d37_h8,37,8,0,6000,0.010167,1.000000,8.0287,19,8:0.989833|9:0.005000|10:0.001833|11:0.001000|12:0.000333|13:0.000333|14:0.000167|15:0.000167|16:0.000500|17:0.000667|19:0.000167,88.27,7.17,123,80.25,3156.73,80.27,7.7285,8092.0,37422.4,91566.8,3921.7,9982.9
3200,dense_d37_h8,37,8,2,6000,0.005333,1.000000,6.0677,36,6:0.972833|7:0.021000|8:0.000833|9:0.000500|10:0.000667|11:0.001333|12:0.000167|13:0.000500|14:0.000500|15:0.000333|16:0.000167|18:0.000333|21:0.000167|22:0.000167|24:0.000167|29:0.000167|36:0.000167,87.68,7.23,125,81.61,3157.32,81.68,7.7310,8092.0,37307.0,91295.4,3869.4,10022.6
3200,dense_d43_h8,43,8,0,6000,0.006333,1.000000,8.0143,22,8:0.993667|9:0.004833|10:0.000333|11:0.000167|13:0.000333|14:0.000167|16:0.000167|20:0.000167|22:0.000167,94.81,7.26,129,86.80,3156.19,86.81,7.7313,8107.0,37722.6,100445.3,4520.9,12424.3
3200,dense_d43_h8,43,8,2,6000,0.002333,1.000000,6.0340,27,6:0.978333|7:0.018833|8:0.000500|9:0.000333|10:0.000833|11:0.000500|12:0.000167|13:0.000167|16:0.000167|27:0.000167,93.88,7.39,130,87.84,3157.12,87.88,7.7258,8107.0,37724.4,100095.2,4433.4,12339.2
3200,dense_d50_h8,50,8,0,6000,0.003333,1.000000,8.0068,23,8:0.996667|9:0.003000|16:0.000167|23:0.000167,102.24,7.31,142,94.23,3155.76,94.24,7.7285,8125.0,38126.8,110419.7,5252.8,15643.5
3200,dense_d50_h8,50,8,2,6000,0.000667,1.000000,6.0190,15,6:0.984333|7:0.015000|9:0.000167|10:0.000167|14:0.000167|15:0.000167,101.40,7.37,136,95.39,3156.60,95.40,7.7298,8125.0,38099.1,110383.9,5168.3,15585.0
3200,dense_d31_h12,31,12,0,6000,0.007333,1.000000,12.0308,28,12:0.992667|13:0.002167|14:0.001000|15:0.001333|16:0.000667|17:0.000167|18:0.000500|19:0.000333|21:0.000333|22:0.000333|26:0.000167|27:0.000167|28:0.000167,86.37,7.23,136,74.34,3156.63,74.37,7.7276,8077.0,36958.9,88480.9,3756.1,8874.8
3200,dense_d31_h12,31,12,2,6000,0.007167,1.000000,10.0658,32,10:0.985333|11:0.005833|12:0.001667|13:0.001333|14:0.001167|15:0.000667|16:0.000833|17:0.000500|18:0.000167|19:0.000167|20:0.000167|21:0.000333|22:0.000333|23:0.000500|24:0.000333|27:0.000167|28:0.000167|30:0.000167|32:0.000167,85.51,7.32,120,75.45,3157.49,75.51,7.7286,8077.0,36932.9,88190.3,3682.6,8836.3
3200,dense_d37_h12,37,12,0,6000,0.004333,1.000000,12.0147,25,12:0.995667|13:0.001833|14:0.001000|15:0.000167|16:0.000167|17:0.000333|18:0.000167|20:0.000167|21:0.000167|24:0.000167|25:0.000167,92.82,7.42,136,80.81,3156.18,80.82,7.7262,8092.0,37404.3,97418.6,4335.3,11113.0
3200,dense_d37_h12,37,12,2,6000,0.001500,1.000000,10.0165,25,10:0.996167|11:0.001833|12:0.000500|13:0.000167|14:0.000167|15:0.000167|17:0.000167|20:0.000167|21:0.000167|23:0.000167|24:0.000167|25:0.000167,91.88,7.24,129,81.86,3157.12,81.88,7.7293,8092.0,37357.7,97220.8,4246.7,11019.5
3200,dense_d43_h12,43,12,0,6000,0.002333,1.000000,12.0075,25,12:0.997667|13:0.001500|14:0.000167|17:0.000167|19:0.000167|21:0.000167|25:0.000167,99.19,7.33,135,87.18,3155.81,87.19,7.7272,8107.0,37701.6,106210.3,4945.6,13645.0
3200,dense_d43_h12,43,12,2,6000,0.000833,1.000000,10.0105,28,10:0.997167|11:0.001667|12:0.000333|13:0.000167|15:0.000167|18:0.000167|25:0.000167|28:0.000167,98.37,7.40,148,88.36,3156.63,88.37,7.7298,8107.0,37718.0,106023.3,4865.2,13607.9
3200,dense_d50_h12,50,12,0,6000,0.000000,1.000000,12.0000,12,12:1.000000,106.65,7.44,138,94.65,3155.35,94.65,7.7268,8125.0,38099.7,116229.1,5714.9,17092.5
3200,dense_d50_h12,50,12,2,6000,0.000000,1.000000,10.0013,11,10:0.998667|11:0.001333,105.73,7.34,142,95.73,3156.27,95.73,7.7255,8125.0,38075.7,115969.3,5616.3,16983.3
3200,dense_d31_h16,31,16,0,6000,0.005000,1.000000,16.0182,32,16:0.995000|17:0.001833|18:0.001167|19:0.000500|20:0.000167|21:0.000167|22:0.000167|24:0.000500|25:0.000167|27:0.000167|32:0.000167,90.92,7.22,123,74.90,3156.08,74.92,7.7243,8077.0,36979.4,94410.5,4159.1,9889.1
3200,dense_d31_h16,31,16,2,6000,0.003000,1.000000,14.0218,30,14:0.994500|15:0.001833|16:0.000667|17:0.000833|18:0.000333|19:0.000167|20:0.000333|21:0.000500|22:0.000333|23:0.000167|24:0.000167|30:0.000167,89.85,7.27,124,75.83,3157.15,75.85,7.7251,8077.0,36944.2,94287.0,4062.6,9781.3
3200,ldpc_s31_h8,31,8,0,6000,0.026167,1.000000,8.1042,31,8:0.973833|9:0.011000|10:0.003667|11:0.002333|12:0.000833|13:0.001667|14:0.001167|15:0.001167|16:0.000667|17:0.000833|18:0.000167|19:0.000333|20:0.001167|21:0.000167|22:0.000167|24:0.000167|25:0.000167|26:0.000333|31:0.000167,75.42,8.17,118,67.32,3163.58,67.42,7.7300,9630.0,29583.5,82677.7,2877.3,6225.3
3200,ldpc_s31_h8,31,8,2,6000,0.012833,1.000000,6.1302,25,6:0.961167|7:0.022000|8:0.004000|9:0.001500|10:0.002333|11:0.001500|12:0.001500|13:0.000333|14:0.000833|15:0.000667|16:0.000667|17:0.001000|18:0.000333|19:0.000333|20:0.000500|21:0.000667|22:0.000167|23:0.000167|25:0.000333,74.58,7.98,110,68.45,3164.42,68.58,7.7286,9630.0,29564.9,82293.5,2813.0,6182.1
3200,ldpc_s43_h8,43,8,0,6000,0.005833,1.000000,8.0125,19,8:0.994167|9:0.004000|10:0.000667|11:0.000333|13:0.000167|14:0.000333|17:0.000167|19:0.000167,88.15,8.36,140,80.13,3162.85,80.15,7.7330,9642.0,28830.7,100441.8,3919.6,10014.1
3200,ldpc_s43_h8,43,8,2,6000,0.001500,1.000000,6.0322,23,6:0.978500|7:0.019000|8:0.001000|9:0.000167|10:0.000333|12:0.000500|14:0.000167|19:0.000167|23:0.000167,87.34,8.31,135,81.31,3163.66,81.34,7.7298,9642.0,28801.9,100065.7,3848.7,9977.1
