pivot_window,K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu,heavy_muladds_mu,heavy_divs_mu,ge_real_bitops_mu,ge_real_rowops_mu,fill_in_mu,def_outside_w18_rate,def_band_w95,def_band_w99,runaway_rate
0,1000,dense,50,6,0,300,0.010000,1.000000,6.0100,7,6:0.990000|7:0.010000,75.60,4.49,93,69.59,980.40,69.60,7.2447,2625.0,10614.7,26733.6,2867.8,6286.1,489.6,6.0,2322.1,1165.8,36.64,0.000000,10,12,0.000000
0,1000,ldpc,50,6,0,300,0.013333,1.000000,6.0133,7,6:0.986667|7:0.013333,70.56,5.47,92,64.54,985.44,64.56,7.2447,3049.0,8028.9,26787.8,2503.8,5118.6,459.3,6.0,1903.4,1002.2,34.55,0.000000,12,14,0.000000
0,3200,dense,62,6,0,300,0.013333,1.000000,6.0133,7,6:0.986667|7:0.013333,112.41,7.78,138,106.40,3155.59,106.41,7.7177,8155.0,38578.8,124557.4,6348.4,21329.4,710.5,6.0,5247.0,2755.1,53.99,0.000000,11,12,0.000000
0,3200,ldpc,62,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,105.90,8.46,137,99.88,3162.10,99.90,7.7177,9661.0,28140.8,124481.0,5642.9,17862.9,671.4,6.0,4641.9,2425.4,56.25,0.000000,11,12,0.000000
0,10000,dense,86,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,192.64,11.00,225,186.63,9899.36,186.64,7.7253,25215.0,133920.3,583378.0,18616.0,109314.7,1191.9,6.0,25788.6,8516.7,83.90,0.000000,10,12,0.000000
0,10000,ldpc,86,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,158.43,14.07,199,152.41,9933.57,152.43,7.7253,30085.0,94682.4,582630.4,12648.7,61252.6,986.6,6.0,15008.4,5671.5,85.90,0.000000,11,12,0.000000
16,1000,dense,50,6,0,300,0.010000,1.000000,6.0100,7,6:0.990000|7:0.010000,75.60,4.49,93,69.59,980.40,69.60,7.2447,2625.0,10614.7,26733.6,2867.8,6286.1,489.6,6.0,2319.5,1164.4,2.41,0.000000,10,12,0.000000
16,1000,ldpc,50,6,0,300,0.013333,1.000000,6.0133,7,6:0.986667|7:0.013333,70.56,5.47,92,64.54,985.44,64.56,7.2447,3049.0,8028.9,26787.8,2503.8,5118.6,459.3,6.0,1904.1,1002.6,2.14,0.000000,12,14,0.000000
16,3200,dense,62,6,0,300,0.013333,1.000000,6.0133,7,6:0.986667|7:0.013333,112.41,7.78,138,106.40,3155.59,106.41,7.7177,8155.0,38578.8,124557.4,6348.4,21329.4,710.5,6.0,5242.9,2753.3,5.82,0.000000,11,12,0.000000
16,3200,ldpc,62,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,105.90,8.46,137,99.88,3162.10,99.90,7.7177,9661.0,28140.8,124481.0,5642.9,17862.9,671.4,6.0,4640.2,2426.1,5.89,0.000000,11,12,0.000000
16,10000,dense,86,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,192.64,11.00,225,186.63,9899.36,186.64,7.7253,25215.0,133920.3,583378.0,18616.0,109314.7,1191.9,6.0,25808.4,8525.0,16.76,0.000000,10,12,0.000000
16,10000,ldpc,86,6,0,300,0.016667,1.000000,6.0167,7,6:0.983333|7:0.016667,158.43,14.07,199,152.41,9933.57,152.43,7.7253,30085.0,94682.4,582630.4,12648.7,61252.6,986.6,6.0,14993.9,5668.7,16.00,0.000000,11,12,0.000000
