K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
10000,dense,86,6,0,4000,0.016750,1.000000,6.0215,19,6:0.983250|7:0.016000|10:0.000250|11:0.000250|19:0.000250,193.39,12.74,251,187.37,9898.61,187.39,7.7292,25215.0,133545.3,582897.4,18780.4,110972.0
10000,dense,86,6,2,4000,0.001250,1.000000,4.0865,34,4:0.933000|5:0.065250|6:0.000500|9:0.000250|16:0.000250|18:0.000250|24:0.000250|34:0.000250,192.70,12.62,246,188.61,9899.30,188.70,7.7275,25215.0,133527.3,581700.8,18645.4,110922.5
10000,ldpc,86,6,0,4000,0.019500,1.000000,6.0442,50,6:0.980500|7:0.017750|8:0.000250|11:0.000250|15:0.000500|17:0.000250|32:0.000250|50:0.000250,159.56,14.69,231,153.51,9932.44,153.56,7.7278,30085.0,94582.4,583113.2,12837.0,62707.2
10000,ldpc,86,6,2,4000,0.001750,1.000000,4.0832,29,4:0.935250|5:0.062500|6:0.000500|7:0.000250|8:0.000250|9:0.000250|10:0.000250|17:0.000250|27:0.000250|29:0.000250,158.89,14.79,221,154.81,9933.11,154.89,7.7276,30085.0,94541.0,582112.8,12732.8,62749.2
10000,ldpcdense_s52_d16,52,6,0,4000,0.033500,1.000000,6.1852,38,6:0.966500|7:0.018000|8:0.002000|9:0.001000|10:0.001000|11:0.002250|12:0.000500|13:0.000750|14:0.000250|15:0.000250|16:0.000750|17:0.000250|18:0.000250|20:0.001250|21:0.000500|23:0.000750|24:0.001000|25:0.000750|26:0.000500|27:0.000250|28:0.000250|29:0.000250|34:0.000250|37:0.000250|38:0.000250,143.09,13.36,218,136.91,9930.91,137.09,7.7250,55221.0,106229.6,494628.2,10326.6,45065.2
10000,ldpcdense_s52_d16,52,6,2,4000,0.016000,1.000000,4.2560,50,4:0.916000|5:0.064500|6:0.003500|7:0.002250|8:0.001750|9:0.001750|10:0.000500|11:0.001250|12:0.000250|13:0.000250|14:0.000500|15:0.000500|16:0.000750|17:0.000500|18:0.001000|19:0.000250|20:0.001250|21:0.000250|22:0.000750|23:0.000250|24:0.000250|25:0.000750|36:0.000250|39:0.000250|47:0.000250|50:0.000250,142.61,12.99,210,138.36,9931.39,138.61,7.7257,55221.0,106284.3,493617.5,10253.5,45191.4
10000,ldpcdense_s52_d34,52,6,0,4000,0.015750,1.000000,6.0293,26,6:0.984250|7:0.013750|8:0.000250|9:0.000250|10:0.000500|14:0.000250|15:0.000250|18:0.000250|26:0.000250,163.89,13.08,226,157.87,9928.11,157.89,7.7270,55266.0,109438.6,584274.4,13516.0,67590.5
10000,ldpcdense_s52_d34,52,6,2,4000,0.001500,1.000000,4.0702,19,4:0.940500|5:0.057500|6:0.000500|8:0.000250|9:0.000250|10:0.000250|11:0.000250|14:0.000250|19:0.000250,163.40,13.07,216,159.33,9928.60,159.40,7.7274,55266.0,109287.7,583495.8,13434.9,67813.9
10000,ldpcdense_s70_d16,70,6,0,4000,0.017000,1.000000,6.0190,12,6:0.983000|7:0.016500|10:0.000250|12:0.000250,160.30,14.24,221,154.28,9931.70,154.30,7.7295,55284.0,100344.9,582830.7,12949.7,63485.2
10000,ldpcdense_s70_d16,70,6,2,4000,0.001750,1.000000,4.0873,27,4:0.937000|5:0.060500|6:0.000750|7:0.000250|16:0.000250|17:0.000250|19:0.000500|24:0.000250|27:0.000250,159.71,14.06,232,155.62,9932.29,155.71,7.7293,55284.0,100346.7,582570.4,12851.9,63548.5
