K,scheme,D,H,oh,trials,fail_rate,fail_rate_noheavy,def_mu,def_max,def_pdf,inact_mu,inact_sd,inact_max,rank_mu,peeled_mu,residual_rows_mu,recv_xors_per_packet,precode_gen_xors_mu,sparse_solve_xors_mu,backsub_xors_mu,ge_block_xors_mu,ge_bitops_mu
1000,none,0,0,0,4000,1.000000,1.000000,12.3100,45,1:0.001000|2:0.008500|3:0.018500|4:0.033000|5:0.049000|6:0.058000|7:0.063750|8:0.067250|9:0.075000|10:0.071250|11:0.063750|12:0.059000|13:0.064250|14:0.056000|15:0.048000|16:0.036250|17:0.037250|18:0.034500|19:0.031500|20:0.023250|21:0.017250|22:0.015750|23:0.014500|24:0.012500|25:0.010500|26:0.006000|27:0.004750|28:0.005500|29:0.004500|30:0.003000|31:0.001000|32:0.002750|33:0.000500|34:0.001000|36:0.000250|37:0.000250|39:0.000250|42:0.000250|43:0.000250|45:0.000250,22.89,4.09,48,10.58,977.11,22.89,4.2389,0.0,4037.4,2284.9,270.1,205.6
1000,none,0,0,1,4000,0.999750,0.999750,11.9072,39,0:0.000250|1:0.003250|2:0.010500|3:0.024500|4:0.039500|5:0.047250|6:0.056500|7:0.073500|8:0.077000|9:0.073500|10:0.072500|11:0.060500|12:0.065250|13:0.053250|14:0.048250|15:0.043250|16:0.041000|17:0.037250|18:0.031250|19:0.021000|20:0.024500|21:0.016750|22:0.018000|23:0.015000|24:0.009750|25:0.006750|26:0.008000|27:0.005250|28:0.005750|29:0.002250|30:0.003000|31:0.001750|32:0.000500|33:0.001250|34:0.000750|35:0.000750|37:0.000250|39:0.000500,22.34,4.09,41,10.43,977.66,23.34,4.2403,0.0,4037.3,2237.8,257.6,199.7
1000,none,0,0,2,4000,0.999250,0.999250,11.6948,45,0:0.000750|1:0.003750|2:0.012500|3:0.023750|4:0.044500|5:0.057750|6:0.059750|7:0.067500|8:0.071750|9:0.075750|10:0.070500|11:0.063250|12:0.063000|13:0.051250|14:0.050500|15:0.038750|16:0.038500|17:0.039250|18:0.029500|19:0.027250|20:0.021500|21:0.018750|22:0.012500|23:0.013000|24:0.011000|25:0.006500|26:0.008500|27:0.005250|28:0.004250|29:0.002750|30:0.002500|31:0.000500|32:0.001250|33:0.000500|34:0.000500|36:0.000250|37:0.000500|38:0.000250|45:0.000250,21.82,4.13,46,10.13,978.18,23.82,4.2240,0.0,4023.6,2168.7,246.4,195.4
1000,none,0,0,5,4000,0.998250,0.998250,10.6250,38,0:0.001750|1:0.005750|2:0.019250|3:0.037500|4:0.051500|5:0.062500|6:0.076750|7:0.074000|8:0.078500|9:0.079250|10:0.068000|11:0.072250|12:0.059000|13:0.050750|14:0.037250|15:0.043500|16:0.035750|17:0.029250|18:0.019000|19:0.018750|20:0.018500|21:0.015750|22:0.008500|23:0.007250|24:0.007000|25:0.007250|26:0.002750|27:0.004750|28:0.002500|29:0.001250|30:0.001250|31:0.001000|32:0.000500|33:0.000500|34:0.000500|35:0.000250|38:0.000250,20.27,4.13,42,9.64,979.73,25.27,4.2396,0.0,4034.9,2038.2,213.7,180.0
1000,dense,50,6,0,4000,0.017000,1.000000,6.0172,8,6:0.983000|7:0.016750|8:0.000250,75.49,4.35,94,69.47,980.51,69.49,7.2390,2625.0,10642.4,26735.3,2858.2,6251.6
1000,dense,50,6,1,4000,0.000000,1.000000,5.0300,6,5:0.970000|6:0.030000,75.02,4.50,94,69.99,980.98,70.02,7.2331,2625.0,10635.3,26681.5,2823.7,6226.6
1000,dense,50,6,2,4000,0.000000,1.000000,4.0555,6,4:0.945500|5:0.053500|6:0.001000,74.53,4.48,94,70.48,981.47,70.53,7.2330,2625.0,10631.9,26676.7,2787.4,6191.5
1000,dense,50,6,5,4000,0.000000,1.000000,1.4550,4,1:0.582000|2:0.381500|3:0.036000|4:0.000500,73.14,4.58,97,71.68,982.86,72.14,7.2374,2625.0,10622.0,26581.4,2684.8,6101.4
1000,ldpc,50,6,0,4000,0.015750,1.000000,6.0160,8,6:0.984250|7:0.015500|8:0.000250,70.48,5.01,90,64.46,985.52,64.48,7.2371,3049.0,8035.8,26813.8,2495.8,5084.8
1000,ldpc,50,6,1,4000,0.000000,1.000000,5.0305,6,5:0.969500|6:0.030500,70.02,5.01,92,64.99,985.98,65.02,7.2353,3049.0,8040.3,26783.7,2463.9,5062.2
