N	DenseCount	LowestFailures
2	2	0.016
3	3	0.084
4	3	0.224
5	5	0.056
6	6	0.034
7	6	0.038
8	6	0.06
9	6	0.044
10	10	0.032
11	8	0.022
12	11	0.024
13	8	0.024
14	9	0.026
15	10	0.018
16	15	0.02
17	13	0.014
18	11	0.02
19	12	0.01
20	14	0.012
21	15	0.016
22	19	0.014
23	11	0.018
24	13	0.012
25	14	0.016
26	15	0.012
27	10	0.012
28	24	0.014
29	19	0.012
30	12	0.014
31	15	0.012
32	14	0.014
33	10	0.014
34	10	0.016
35	12	0.016
36	13	0.012
37	14	0.01
38	21	0.01
39	12	0.016
40	21	0.01
41	12	0.018
42	12	0.016
43	12	0.014
44	16	0.008
45	14	0.016
46	16	0.008
47	14	0.016
48	13	0.014
49	18	0.016
50	19	0.014
51	18	0.008
52	16	0.01
53	16	0.018
54	12	0.016
55	11	0.004
56	10	0.01
57	13	0.016
58	20	0.014
59	16	0.014
60	12	0.012
61	20	0.008
62	16	0.012
63	13	0.016
64	17	0.012
65	23	0.01
66	22	0.008
67	22	0.016
68	19	0.014
69	15	0.012
70	23	0.01
71	15	0.012
72	18	0.012
73	16	0.008
74	21	0.01
75	13	0.016
76	17	0.01
77	17	0.014
78	16	0.008
79	15	0.016
80	15	0.016
81	18	0.01
82	13	0.014
83	12	0.012
84	14	0.012
85	23	0.008
86	18	0.012
87	15	0.014
88	14	0.01
89	15	0.016
90	14	0.014
91	17	0.014
92	18	0.01
93	21	0.014
94	22	0.008
95	23	0.01
96	18	0.014
97	27	0.004
98	19	0.016
99	18	0.014
100	14	0.014
101	13	0.014
102	27	0.016
103	24	0.01
104	14	0.016
105	16	0.014
106	19	0.01
107	14	0.012
108	17	0.012
109	19	0.01
110	14	0.014
111	17	0.018
112	13	0.016
113	18	0.018
114	16	0.016
115	12	0.01
116	16	0.008
117	16	0.01
118	26	0.004
119	17	0.014
120	14	0.016
121	14	0.012
122	19	0.014
123	14	0.014
124	17	0.012
125	12	0.018
126	17	0.008
127	14	0.012
128	21	0.008
130	19	0.014
132	22	0.012
134	16	0.008
136	15	0.012
138	16	0.012
140	18	0.01
142	16	0.012
144	18	0.008
146	13	0.012
148	14	0.018
150	18	0.014
152	16	0.018
154	19	0.016
156	16	0.012
158	16	0.016
160	24	0.006
162	16	0.016
164	14	0.014
166	19	0.016
168	20	0.01
170	15	0.016
172	14	0.016
174	16	0.008
176	19	0.012
178	17	0.008
180	17	0.014
182	18	0.006
184	15	0.016
186	19	0.006
188	16	0.012
190	21	0.01
192	28	0.012
195	21	0.004
198	16	0.014
201	18	0.014
204	20	0.012
207	18	0.014
210	15	0.016
213	23	0.016
216	16	0.018
219	20	0.014
222	16	0.014
225	18	0.018
228	22	0.018
231	20	0.01
234	19	0.014
237	23	0.01
240	21	0.014
243	16	0.012
246	18	0.012
249	31	0.016
252	22	0.004
255	19	0.016
258	25	0.012
262	17	0.012
266	20	0.014
270	27	0.018
274	20	0.008
278	19	0.014
282	20	0.004
286	27	0.016
290	18	0.008
294	20	0.012
298	18	0.012
302	18	0.016
306	24	0.008
310	19	0.01
314	16	0.014
318	24	0.004
322	24	0.014
327	20	0.016
332	23	0.014
337	21	0.014
342	24	0.01
347	22	0.014
352	25	0.012
357	24	0.014
362	22	0.016
367	29	0.008
372	20	0.014
377	20	0.016
382	22	0.014
387	23	0.008
393	33	0.014
399	26	0.008
405	28	0.012
411	22	0.014
417	29	0.018
423	20	0.016
429	23	0.016
435	31	0.008
441	35	0.01
447	28	0.014
453	33	0.012
460	28	0.016
467	28	0.006
474	27	0.016
481	29	0.016
488	32	0.01
495	24	0.016
502	27	0.012
509	26	0.01
516	28	0.01
524	29	0.008
532	26	0.016
540	26	0.012
548	32	0.016
556	30	0.008
564	25	0.016
572	26	0.016
580	31	0.012
589	25	0.014
598	28	0.01
607	33	0.014
616	28	0.012
625	30	0.012
634	27	0.012
643	36	0.012
653	32	0.016
663	31	0.012
673	30	0.01
683	34	0.014
693	27	0.014
703	32	0.01
713	25	0.018
724	39	0.008
735	33	0.012
746	31	0.014
757	29	0.016
768	32	0.014
780	30	0.016
792	30	0.016
804	28	0.018
816	31	0.012
828	34	0.012
840	35	0.01
853	37	0.014
866	34	0.014
879	42	0.018
892	35	0.016
905	33	0.012
919	33	0.008
933	38	0.014
947	35	0.008
961	38	0.01
976	36	0.014
991	34	0.018
1006	30	0.016
1021	36	0.01
1036	33	0.018
1052	42	0.01
1068	42	0.016
1084	40	0.016
1100	38	0.014
1117	38	0.012
1134	39	0.014
1151	39	0.018
1168	36	0.014
1186	46	0.012
1204	36	0.018
1222	45	0.014
1241	38	0.012
1260	44	0.012
1279	39	0.016
1298	44	0.012
1318	41	0.014
1338	48	0.012
1358	45	0.016
1379	44	0.012
1400	50	0.014
1421	42	0.012
1443	47	0.016
1465	44	0.016
1487	41	0.016
1510	46	0.012
1533	48	0.01
1556	54	0.01
1580	45	0.012
1604	46	0.014
1629	57	0.014
1654	51	0.014
1679	42	0.018
1705	48	0.018
1731	46	0.012
1758	51	0.01
1785	54	0.016
1812	53	0.012
1840	54	0.016
1868	53	0.016
1897	55	0.016
1926	46	0.012
1956	60	0.008
1986	52	0.014
2017	52	0.016
2048	49	0.018
2080	49	0.014
2112	45	0.014
2145	45	0.016
2178	43	0.016
2212	48	0.01
2246	50	0.008
2281	40	0.01
2316	36	0.014
2352	45	0.014
2388	41	0.012
2425	38	0.014
2462	52	0.012
2500	48	0.008
